,BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
0,2459603.96031,1.00473,0.00251,1.3227,-0.81,0.68,4.99,39086
1,2459603.960951,1.00147,0.0025,1.3234,-1.2,0.69,5.0,39650
2,2459603.961591,1.00443,0.00248,1.3241,0.02,0.23,4.45,48279
3,2459603.962231,1.0017,0.00249,1.3249,-1.97,1.41,4.77,45648
4,2459603.962871,1.00617,0.00249,1.3257,-0.68,2.01,4.86,42632
5,2459603.963511,1.00253,0.00252,1.3265,-0.58,2.5,5.17,37592
6,2459603.964158,1.0037,0.00251,1.3273,-0.47,0.2,4.96,41682
7,2459603.964797,0.99993,0.00253,1.3282,0.63,-2.37,5.51,36644
8,2459603.965437,0.99811,0.00251,1.3291,-1.33,-2.52,5.21,39382
9,2459603.966075,1.00015,0.00251,1.33,-0.08,-0.1,4.7,43652
10,2459603.966715,1.00282,0.00248,1.331,-0.93,0.44,4.21,51180
11,2459603.967362,1.00175,0.00261,1.3319,-0.25,0.03,5.89,27233
12,2459603.968001,1.00224,0.00251,1.3329,0.98,-1.17,4.73,41198
13,2459603.96864,1.00096,0.00253,1.3339,-1.05,-0.65,5.78,33815
14,2459603.96928,0.99974,0.0025,1.335,0.7,0.0,4.83,41357
15,2459603.96992,0.99916,0.00253,1.3361,-1.81,0.77,5.29,36777
16,2459603.970567,1.0025,0.00251,1.3372,0.08,-0.15,4.65,40406
17,2459603.971206,1.00097,0.00266,1.3383,0.02,-0.02,7.19,19655
18,2459603.971844,0.99977,0.00253,1.3395,0.24,-0.42,5.09,36787
19,2459603.97249,1.00574,0.00255,1.3407,-0.19,0.43,5.54,34161
20,2459603.973129,1.00514,0.00252,1.3419,-0.33,2.22,5.1,42251
21,2459603.973768,0.99971,0.00254,1.3431,1.71,-1.8,5.44,35136
22,2459603.974414,1.00419,0.00255,1.3444,-0.42,-3.89,6.48,30876
23,2459603.975052,1.00215,0.00258,1.3457,1.76,-2.02,5.44,33348
24,2459603.975698,1.00394,0.00259,1.347,0.17,-0.54,6.05,29399
25,2459603.976338,1.00629,0.00271,1.3484,-0.17,-1.97,6.42,23630
26,2459603.977006,1.00135,0.00264,1.3498,0.92,-1.37,5.76,27304
27,2459603.977644,1.00121,0.00265,1.3512,-0.12,0.03,6.77,23232
28,2459603.978283,1.00334,0.00261,1.3527,-0.51,-0.37,6.4,26473
29,2459603.978929,0.99928,0.00271,1.3541,0.18,-0.04,6.63,25904
30,2459603.979567,1.00548,0.00266,1.3556,0.9,-1.31,6.14,26429
31,2459603.980206,1.00283,0.00259,1.3572,-0.47,1.78,5.7,26967
32,2459603.980851,1.0014,0.00257,1.3587,1.78,1.53,5.32,32840
33,2459603.98149,0.99969,0.00255,1.3603,0.02,-3.73,6.98,27074
