"Star_Name","SIMBAD_QUERY","RA","DEC","source_id_DR2","source_id_DR3","2mass_id","Bmag_s","eBmag_s","Bmag_g","eBmag_g","Vmag_s","eVmag_s","Vmag_g","eVmag_g","Gmag","eGmag","BPmag","eBPmag","RPmag","eRPmag","Jmag","eJmag","Hmag","eHmag","Ksmag","eKsmag","EBV","EBV_68L","EBV_68U","lum","lum_68L","lum_68U","parallax","eparallax","U","V","W","e","Rgal","X","Y","Z","teff","eteff","logg","elogg","feh","efeh","vsini","evsini","vmicro","evmicro","vmicro_flag","mass","mass_68L","mass_68U","rad","rad_68L","rad_68U","age","age_68L","age_68U","A_C","A_O","A_N","eA_C","eA_O","eA_N","sindex","logrhk","cairt","prot","params_analysis","params_ref","abund_analysis","abund_ref","amr_analysis","amr_ref","version","note"
"CoRoT-10","CoRoT-10",291.0637,0.74611,"Gaia DR2 4263752921128319616","Gaia DR3 4263752921128319616","J19241528+0044461",16.6760005950928,NA,NA,NA,15.2159996032715,NA,NA,NA,14.648624,0.002769,15.47713,0.003224,13.759842,0.003887,12.5270004272461,0.025,11.9289999008179,0.028000001,11.7819995880127,0.021,0.382141213575739,0.341508596276842,0.421315968797734,0.335743679,0.312256388292349,0.359657491558994,2.9132,0.026000001,46.256907651959,214.829257260903,-7.28134311436251,0.157146156457632,7732.02,-7729.25936967648,206.773340701074,-17.3994811813465,4890,111,4.45,0.15,0.22,0.001,2.2,0.4,0.45,0.15,"fixed",0.806049,0.758175,0.850992,0.810202,0.781303,0.842604,NA,NA,NA,8.71,NA,8.14,0.02,NA,0.12,NA,NA,NA,NA,"EW","M22","C_SYNTH;N_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"CoRoT-11","CoRoT-11",280.687300057667,5.93765777570948,"Gaia DR2 4285511294172309504","Gaia DR3 4285511294172309504","J18424494+0556156",13.4879999160767,0.01,13.593892,0.003152528,12.8690004348755,0.01,12.991337,0.002249712,12.83414,0.002767,13.144866,0.003696,12.335336,0.004448,11.58899974823,0.021,11.4160003662109,0.028999999,11.2480001449585,0.022,0.169349499940488,0.155037925677947,0.18369216540648,3.64591706693311,3.49901253133701,3.8127382943127,1.5339,0.0144,26.4537048545641,228.958996779424,-4.79438786723772,0.0967156569646717,7492.81,-7482.4802497503,393.236377715622,76.009978752678,6541,81,4.21,0.02,0.03,0.045,38.3,1.1,1.63,0.06,"fixed",1.316575,1.293712,1.340345,1.476822,1.429565,1.525743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYNTH","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"CoRoT-19","CoRoT-19",97.0335989465411,-0.170730131,"Gaia DR2 3120002649138831360","Gaia DR3 3120002649138831360","J06280805-0010144",14.7799997329712,NA,14.899418,0.004875474,14.0069999694824,NA,14.048615,0.003296944,13.771415,0.002769,14.256995,0.003121,13.113342,0.003883,12.3240003585815,0.024,11.9610004425049,0.022,11.8369998931885,0.024,0.324107046237155,0.310831363601142,0.337275309291541,3.60380744240197,3.44027004326744,3.77529697912539,1.1899,0.018100001,4.48940919613358,193.750885571382,10.900346195779,0.124530919551459,8732.16,-8721.87142782346,-423.750573276793,-49.8107274663962,6202,63,4.11,0.02,-0.014,0.04,6.5,0.3,1.43,0.04,"fixed",1.264153,1.234331,1.287076,1.641166,1.589105,1.693646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYNTH","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"CoRoT-2","CoRoT-2",291.77706,1.38371,"Gaia DR2 4287820848378092672","Gaia DR3 4287820848378092672","J19270649+0123013",13.4219999313354,NA,NA,NA,12.5679998397827,NA,NA,NA,12.236511,0.002882,12.708138,0.00409,11.600407,0.004584,10.7829999923706,0.028000001,10.4379997253418,0.037,10.31000042,0.030999999,0.156028670575956,0.143327730268926,0.169287261079213,0.64174288,0.62359558574358,0.661156567934381,4.6895,0.0143,37.334049422015,238.272920071697,1.85066108307604,0.155609511101346,7835.06,-7833.96744018111,130.985555040082,-2.58062339361738,5615,48,4.45,0.16,0.02,0.03,10.2,0.3,1.59,0.01,"free",0.942728,0.927241,0.955581,0.865815,0.855178,0.878256,NA,NA,NA,8.38,8.82,NA,0.05,0.12,NA,NA,NA,NA,NA,"EW","M22","C_SYEW;O_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"CoRoT-28","CoRoT-28",278.688320782555,5.57369019918839,"Gaia DR2 4284680029006075648","Gaia DR3 4284680029006075648","J18344520+0534254",14.9940004348755,0.033,NA,NA,13.7749996185303,0.022,NA,NA,13.398559,0.002769,14.05461,0.003167,12.618852,0.003811,11.6009998321533,0.023,11.1429996490479,0.025,11.0319995880127,0.025,0.328673766932018,0.309304914685683,0.346956587728072,4.35815955594888,4.15623807083822,4.57498741660243,1.3023,0.015900001,-32.1822058396716,161.817676631767,7.35833912469679,0.304991552900316,7395.88,-7382.24535525949,448.823198442892,106.554331520965,5390,61,3.81,0.02,0.24,0.13,4.3,0.3,1.02,0.03,"fixed",1.308032,1.259222,1.349236,2.370915,2.293965,2.450331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"CoRoT-3","CoRoT-3",292.055283234716,0.121835849449609,"Gaia DR2 4263427117767106816","Gaia DR3 4263427117767106816","J19281326+0007185",14.1990003585815,NA,NA,NA,13.2919998168945,NA,NA,NA,13.208983,0.002767,13.601974,0.003031,12.640237,0.003827,11.9359998703003,0.029999999,11.710000038147,0.041999999,11.6180000305176,0.034000002,0.295342612204806,0.278927660450455,0.310980149566938,4.66408779649851,4.42913744521667,4.89583438321486,1.3118,0.0177,-38.4728916935133,200.676617348125,3.81328867202045,0.16239953849611,7413.79,-7399.70048750195,456.921333077475,-84.5549995091913,6751.5,81,4.2,0.02,-0.015,0.045,19.1,0.6,1.78,0.06,"fixed",1.378312,1.354548,1.402272,1.567679,1.514496,1.622791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYNTH","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"CoRoT-7","CoRoT-7",100.956169727939,-1.063007579,"Gaia DR2 3107267177757848576","Gaia DR3 3107267177757848576","J06434947-0103468",12.7799997329712,0.270000011,NA,NA,11.7299995422363,0.150000005960464,NA,NA,11.519906,0.002767,11.935497,0.002942,10.940556,0.003855,10.3009996414185,0.024,9.88000011444092,0.022,9.80599975585938,0.021,0.00310529,0.00078881,0.008207737,0.493820063199955,0.489678345636919,0.499042526032941,6.2676,0.0139,-13.0559687362793,211.987318123554,13.5210835185145,0.0577110278883523,8134.14,-8133.67824276015,-86.8595515397005,19.3524181731357,5126,54,4.28,0.15,0.01,0.03,2.3,0.1,0.43,0.18,"free",0.798463,0.77498,0.822942,0.886225,0.867924,0.905303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"GJ143","GJ143",51.7502989007942,-63.50020036,"Gaia DR2 4673947174316727040","Gaia DR3 4673947174316727040","J03265922-6329569",9.30200004577637,NA,9.198866,0.004251887,8.14299964904785,NA,8.101539,0.002675976,7.686759,0.002764,8.306118,0.002909,6.936548,0.003825,6.08099985122681,0.02,5.524000168,0.030999999,5.375,0.024,0.111545821252778,0.095603141,0.128021361779489,0.247939603514101,0.241267039170786,0.254837274443735,61.2271,0.015,20.4605995008594,167.55181568109,-11.9767024154762,0.26743891860195,7998.18,-7998.17179170509,-11.2349073067806,13.2811816292301,4796,139,4.58,0.06,-0.17,0.14,2.1,1.1,1.09,0.15,"free",0.697747,0.660282,0.736568,0.710513,0.687226,0.734057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"HAT-P-1","HAT-P-1",344.445368939358,38.6749131009608,"Gaia DR2 1928431764627661440","Gaia DR3 1928431764627661440","J22574684+3840302",10.8199996948242,0.01,10.942371,0.003427142,9.86999988555908,0.01,10.335555,0.00263856,10.18196,0.002764,10.491833,0.002835,9.706168,0.003785,9.1560001373291,0.026000001,8.923000336,0.029999999,8.85799980163574,0.017999999,0.0288790648266016,0.0146328871881983,0.045076494,1.74008455134651,1.68284420045662,1.80690481017005,6.2438,0.0146,5.97617553025186,215.764470085672,-29.2132789338846,0.0248459072278582,8027.26,-8025.87196850388,149.194411646674,-27.157891507022,5986,84,4.31,0.03,0.07,0.1,5,0.4,1.07,0.04,"fixed",1.103719,1.054895,1.151757,1.220279,1.181086,1.260979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"HAT-P-12","HAT-P-12",209.38945,43.4935,"Gaia DR2 1499514786891168640","Gaia DR3 1499514786891168640","J13573347+4329367",12.6000003814697,NA,13.829378,0.004185779,12.8400001525879,NA,12.783613,0.002251035,12.408207,0.002762,12.991905,0.002871,11.6829,0.003791,10.793999671936,0.023,10.2360000610352,0.022,10.1079998016357,0.016000001,0.117844069742277,0.103803402827686,0.131588571872846,0.244873539069198,0.238605847099736,0.250944060896308,7.0448,0.0105,-35.8114005967708,140.053037834461,0.276447252838851,0.403789273077679,7997.92,-7997.75461147227,51.1252801592459,157.403319068843,4828,67,4.62,0.16,-0.21,0.06,4.2,0.4,0.97,0.55,"free",0.686326,0.656924,0.716473,0.702863,0.68625,0.718876,NA,NA,NA,8.41,NA,NA,0.03,NA,NA,NA,NA,NA,NA,"EW","M22","C_SYNTH","DS24","mr_iso",NA,"v1.0",NA
"HAT-P-13","HAT-P-13",129.882372313413,47.3519039748912,"Gaia DR2 1014520826353577088","Gaia DR3 1014520826353577088","J08393180+4721073",11.1499996185303,0.079999998,11.29409,0.004086585,10.4200000762939,0.059999999,10.587834,0.002759103,10.418949,0.00276,10.768716,0.00284,9.905181,0.003788,9.328000069,0.017999999,9.057999611,0.017000001,8.97500038146973,0.017000001,0.003016068,0.000780982,0.006970172,3.05450740847914,3.01729910824003,3.09626247331083,4.075,0.0186,-21.6012124899092,206.190459335793,-6.23185019254721,0.0983866961824199,8192.45,-8192.40643551032,25.4030142669413,175.134137087598,5755,26,4.05,0.03,0.49,0.02,3.4,0.8,0.94,0.05,"free",1.344764,1.311697,1.357727,1.760413,1.741667,1.780046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"HAT-P-14","HAT-P-14",260.116172301865,38.24216726,"Gaia DR2 1340497608486742400","Gaia DR3 1340497608486742400","J17202788+3814317",10.4099998474121,0.029999999,10.414929,0.003692058,9.98999977111816,0.029999999,9.997033,0.002313584,9.877845,0.002762,10.105917,0.002834,9.492494,0.003789,9.0939998626709,0.021,8.92700004577637,0.02,8.850999832,0.018999999,0.061218015,0.0462792775580016,0.079374971,4.90362327533866,4.71274406829415,5.13744661834383,4.4473,0.0106,10.3876413687853,216.668741467083,-6.56152436891345,0.0386431353560524,7915.04,-7913.28902718009,166.381643282146,148.960117671615,6698,216,4.16,0.02,-0.01,0.02,9.1,0.1,1.61,0.02,"fixed",1.391,1.368829,1.41506,1.626895,1.522087,1.740442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYNTH","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"HAT-P-15","HAT-P-15",66.2481445205967,39.4606006844433,"Gaia DR2 179498266829041664","Gaia DR3 179498266829041664","J04245952+3927382",13.0200004577637,0.340000003576279,13.004609,0.006114386,12.4099998474121,0.239999994635582,12.023058,0.003102911,11.716202,0.002767,12.251607,0.002934,11.02392,0.003815,10.1940002441406,0.023,9.7519998550415,0.028999999,9.64099979400635,0.018999999,0.231737979291991,0.212270257352655,0.250126687101763,1.01773294369265,0.975975423462717,1.05867072587126,5.1856,0.0166,-23.6850029368014,227.791825274233,6.95626469651404,0.0915089302323121,8181.87,-8181.6492580102,60.5618027416334,2.42819800213329,5608,108,4.4,0.04,0.23,0.1,2.4,0.3,0.66,0.09,"fixed",1.025124,0.973605,1.074324,1.064501,1.026085,1.108401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
"HAT-P-16","HAT-P-16",9.57303026784882,42.4630953973311,"Gaia DR2 381592313648387200","Gaia DR3 381592313648387200","J00381756+4227470",11.3800001144409,0.059999999,11.440302,0.003860639,10.9099998474121,0.059999999,10.891087,0.00202902,10.758675,0.002758,11.036283,0.002833,10.316913,0.003795,9.85000038146973,0.022,9.6230001449585,0.022,9.55300045013428,0.02,0.009024079,0.002617343,0.0192873199613662,1.87116292988297,1.83828257907228,1.9197374604956,4.4958,0.0155,39.4267747266775,229.265645637781,9.5909214629841,0.14316988902814,8107.57,-8105.57071247594,179.980298780949,-51.9938600877944,6126,69,4.33,0.03,0.07,0.1,3.5,0.2,1.08,0.04,"fixed",1.147336,1.099916,1.193023,1.209774,1.18076,1.240074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EW","T25",NA,NA,"mr_iso",NA,"v1.0",NA
