,star,teff,eteff,logg,elogg,vsini,evsini,rad,prot,smwo,esmwo,logrphk,elogrphk,emission
0,GJ143,4796.0,139.0,4.58,0.06,2.1,1.1,0.710513,14.800700440730152,0.6065207859211995,0.0012316715584100317,-4.466486853111302,0.05808104243479315,True
1,HAT-P-1,5986.0,84.0,4.31,0.03,5.0,0.4,1.220279,10.668708021812574,0.15522006780642422,0.001251033280028432,-4.867517243578167,0.40248943287724326,False
2,HAT-P-15,5608.0,108.0,4.4,0.04,2.4,0.3,1.064501,19.312101419406385,0.21249479540107138,0.0018998231278439667,-4.727059026502956,0.297778079048597,False
3,HAT-P-16,6126.0,69.0,4.33,0.03,3.5,0.2,1.209774,15.185526029901867,0.16283082316673939,0.0018332764621888681,-4.794964925040092,0.2809282849392827,False
4,HAT-P-2,6521.5,49.5,4.18,0.01,22.1,0.5,1.647685,3.1383987965997595,0.18570735871648494,0.0006869975183239838,-4.629415698104475,0.1144193431539437,False
5,HAT-P-21,5666.0,86.0,4.22,0.04,5.4,0.2,1.256761,10.254289458630208,0.33577165279451754,0.0034144331667831833,-4.425026852101173,0.12493788478452064,True
6,HAT-P-29,6096.0,61.0,4.33,0.02,5.8,0.2,1.224865,9.271629815595901,0.1714004558175066,0.0023292633684469637,-4.757529160650421,0.22849590502451,False
7,HAT-P-3,5250.0,129.0,4.51,0.05,1.1,0.6,0.878839,34.4174664435738,0.21069107099151668,0.0020486061267947693,-4.858464902575188,0.3019183577138998,True
8,HAT-P-33,6601.5,49.5,4.19,0.01,15.5,0.4,1.63745,4.376402101001822,0.1719367110499415,0.0020607210579628157,-4.688163111457675,0.12515335169974554,False
9,HAT-P-67,6686.0,149.0,3.86,0.09,35.4,0.5,2.663691,3.2099898376488225,0.2097975451087067,0.0024400261586357236,-4.52576641306863,0.2511586788663092,False
10,HATS-10,6002.0,123.0,4.35,0.09,4.8,0.3,1.255736,11.055492892811063,0.15876678952650525,0.01052186551279317,-4.843596363417074,0.5593473209970349,True
11,HATS-17,5730.0,50.0,4.24,0.08,3.2,0.3,1.288644,18.152670033180524,0.13545666761505698,0.012489639176796706,-5.0639323096736595,0.3334889952680135,False
12,HATS-22,4736.0,150.0,4.55,0.11,1.7,0.8,0.809916,19.73211854571511,0.2565303064876981,0.0559991607349213,-4.946773870993956,0.1835079428928969,True
13,HATS-24,6140.0,138.0,4.32,0.1,10.3,0.5,1.26823,5.09089562040414,0.1869170229607132,0.013662928469996378,-4.679337147732322,0.4297154606400076,False
14,HATS-25,5692.0,58.0,4.34,0.07,2.1,0.5,1.136439,23.40887692573114,0.16869192286667017,0.009220360738812697,-4.873206696126207,0.24189515572621864,True
15,HATS-27,6640.0,122.0,4.14,0.11,7.6,0.2,1.638735,9.758594200102928,0.19468948150838672,0.02642490744707193,-4.584565994506282,0.23910897637471268,False
16,HATS-29,5598.0,113.0,4.38,0.08,1.8,0.7,1.11667,26.230632075822882,0.1656964665743873,0.010637319013227273,-4.916126787811518,0.4767668099729756,False
17,HATS-33,5666.0,70.0,4.47,0.08,4.0,0.3,1.037663,10.87175335533927,0.21599917684943765,0.0724145628151264,-4.697421240266313,0.19571689550357663,False
18,HATS-35,6290.0,111.0,4.3,0.09,8.8,0.7,1.408867,6.6453953050602745,0.16847637447256988,0.0780141730869943,-4.736810412484345,0.37862366929709285,False
19,HATS-39,6550.0,106.0,4.05,0.15,7.4,0.2,1.64707,10.680749126994572,0.18602056419581256,0.023361749997636516,-4.625844986346422,0.23908006077697377,False
20,HATS-40,6484.0,106.0,3.91,0.09,9.7,0.3,2.233343,10.078148697641208,0.1691979851714781,0.0047803602755062975,-4.709726051106612,0.30185706991931377,False
21,HATS-41,6386.0,45.0,4.22,0.01,20.1,0.5,1.530338,3.277067886281241,0.19980570923353194,0.006494908587865773,-4.587834089596812,0.1029298222687757,False
22,HATS-42,5974.0,113.0,4.28,0.11,5.6,0.4,1.331001,10.037982358276816,0.10028654368745875,0.045420664799101784,-5.4531471533612,2.0816423168399765,
23,HATS-43,5064.0,150.0,4.48,0.12,2.9,0.3,0.923133,13.163605484308194,0.3718704008222914,0.05183585156847012,-4.597252292141634,0.14751341983196795,True
24,HATS-45,6260.0,145.0,4.3,0.11,9.9,0.6,1.361264,5.611612409847757,0.10910410982026089,0.5403368759471603,-5.248804194498084,1.7294381364605242,False
25,HATS-52,5734.0,150.0,4.45,0.13,4.3,0.5,0.993317,9.706065850771685,0.24527011803582927,0.11759425821021796,-4.592343321562207,0.3448885457997996,
26,HATS-58A,6420.0,100.0,3.82,0.04,4.3,0.6,2.551648,25.73278070865551,0.13657508601751894,0.0027919996071922495,-4.923875427093046,0.4855553982916485,False
27,HATS-60,5730.0,52.0,4.24,0.06,4.2,0.6,1.350238,14.311432096426872,0.16527998617837364,0.010235859005766795,-4.879071192686519,0.22658677355808318,True
28,HATS-64,6700.0,72.0,4.4,0.02,13.0,0.4,2.039132,4.4491378822097785,0.1587780604132402,0.027314398243270067,-4.759506422719118,0.20785264950803103,False
