BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 flux_star_9 flux_star_10 flux_star_11 flux_star_12 flux_star_13 flux_star_14 flux_star_15 flux_star_16 flux_star_17 flux_star_18 flux_star_19 flux_star_20 flux_star_21 flux_star_22 flux_star_23 flux_star_24 flux_star_25 flux_star_26 flux_star_27 flux_star_28 flux_star_29 flux_star_30 flux_star_31 flux_star_32 flux_star_33 flux_star_34 flux_star_35 flux_star_36 flux_star_37 flux_star_38 flux_star_39 flux_star_40 flux_star_41 flux_star_42 flux_star_43 flux_star_44 flux_star_45 flux_star_46 flux_star_47 flux_star_48 flux_star_49 flux_star_50 flux_star_51 flux_star_52 flux_star_53 flux_star_54 flux_star_55 flux_star_56 flux_star_57 flux_star_58 flux_star_59 flux_star_60 flux_star_61 flux_star_62 flux_star_63 flux_star_64 sky airmass xshift yshift sky_entropy
2458810.6537923627 350.0824269133961 24890.100147381236 13939.806349180415 31773.651668642506 16856.334564509318 10151.627699425726 9230.195452260738 6941.032307474117 10510.580869754924 4912.520611489236 5976.380054757814 4809.4796491494635 4096.68098543581 2676.824417914629 3965.6574465732942 2306.7190777284495 2081.917284839619 2407.4003227869935 2251.9723525971303 2210.4204705463635 1409.6480125654869 1824.6925700913303 1310.0897519927432 1242.8372756431481 1196.1113768555151 662.8602144457261 938.3436608998029 751.9974114175478 643.1521513197306 617.740334269924 734.7099102803488 661.251224650185 368.54290793717036 661.9636819122762 529.0249089893261 663.9307879273755 359.77482346355464 348.9248418320993 315.55472401429375 335.6135024206159 267.4531752576724 250.60871985063108 191.71433865094951 252.48524228508262 197.75487905423276 180.8271382582978 147.05764068467653 191.79587319205504 88.29013442023266 187.30566998192006 145.4349778518994 65.93064643501093 103.9139181413763 107.11693067658355 85.24811469231936 51.55340271385976 109.9390053492031 36.04112279894507 104.97018953716955 55.04806879800235 81.70783077095669 92.2687927810953 67.72282540263672 82.01082713818492 56.506063402340686 3.518174877378565 1.684 0.0 0.0 6.60939474270155
2458810.6545199067 325.25516235993854 23310.639448377886 12757.042068907624 28401.358388612938 15530.567178839376 9294.265796932104 8511.616615488698 6355.860156848693 9761.94372392434 4570.002185459638 5387.560814023713 4467.6372637168515 3795.420945582401 2446.0099422396684 3641.508714880409 2098.742789725048 1919.9787307651409 2251.723918434832 2054.6710613922905 2308.1266318088665 1327.5456111682884 1693.0883689516172 1210.8858345665576 1142.9806249154353 1111.0999710552414 610.7635823568145 852.693046039391 692.5345840720059 580.7352360081671 565.2207057918915 686.0814956849531 608.1616146934006 344.6519250313699 613.2936741476785 488.62345257260836 614.838689687891 316.77590719905504 319.76695633531125 283.57909437191813 305.63862951133586 242.61497145549063 230.07850248252896 177.94852706383693 223.571373470617 194.78371844940568 164.07505826474517 133.70556246291696 178.25310684651413 83.09577614230875 176.00077591588646 133.16936055024829 71.8656669740216 99.4526389195796 91.11670727091732 74.39085279332018 50.46372067057734 100.61928787149458 32.62290652940974 103.77906479885884 48.84877460570969 68.14816611765818 82.90639932838774 61.505158711710344 79.21194355220784 49.246073954509605 3.507155628127886 1.68 4.209609217975508 -2.121176336288265 6.779972895695195
2458810.655247532 306.3504191165629 22621.139350978752 12065.579204609438 26393.666501062024 14797.455357360739 8867.588647706298 8093.164444505772 6009.1961046491315 9282.029047834129 4439.191994064823 5321.724461272698 4267.396577205286 3652.1175634827346 2339.1081733465703 3469.391085630695 1994.3942619781342 1830.606793250812 2168.778989830599 1957.8421208093885 2201.1654534244803 1256.370711576913 1608.718844030029 1144.0676429979858 1092.0414714074698 1032.586365799044 593.7069681824311 819.8208127968012 658.4726354990215 580.6743239665736 546.5788206578367 658.8840123152434 564.1520445040169 321.5212532910085 588.7759123883407 460.23545995843887 585.6192242701229 315.78909219247674 291.1208782932602 275.1788269607771 290.9791187247903 236.61609513506713 223.6163886953286 182.00216198096507 217.20438280672425 186.87039877563353 157.60775578751685 126.2050842778893 162.2432876836414 77.5705708078538 172.53540919539253 122.65382510587466 63.51466623067075 98.91267212800037 92.02552173593406 68.48093768774962 39.16424352059924 88.06804903613848 33.035850113110065 116.16305434760082 47.51723114576756 76.9660730469533 86.57718767216222 74.48061401807632 68.94666295999572 47.11938551482963 3.5010114808857247 1.675 4.633478169888775 -4.419000773023008 6.836652944637498
2458810.6559753357 317.817812242628 22887.606437817773 12794.853300208923 28894.44030297594 15431.746104634327 9317.928635679204 8423.733504219848 6324.869107243867 9618.708001036748 4505.827668697307 5522.9337942238435 4421.872085978821 3757.9735702795874 2437.7377849358018 3634.757899837606 2099.1237239829684 1894.7911422600596 2226.815626634273 2056.874983729686 2166.841665243345 1295.8149757062567 1676.0628812456905 1196.6550229940356 1137.2575640910895 1091.6266805211492 595.8462627720969 859.786254909174 679.8026960130697 593.2765497904101 567.8229959149588 676.4790135129084 611.2442077765276 336.23761411504637 617.4120095615597 483.81119971107023 602.573070878716 321.34532162996766 308.00336168747674 287.4344314657428 308.6733852344343 242.77585257360138 228.131867712687 186.47097345097743 218.71892398049326 197.86420757648546 162.1030319133361 127.93190810062418 178.1401549361029 81.09436569383578 171.92834287234388 133.9265603071526 59.56739989105857 106.8018941097882 91.60778984275917 77.95226118750519 52.9486071224881 96.35369509784796 47.957428085851035 101.89753311889302 48.96795233822838 73.40158439778352 92.7580581885634 72.60741801717559 74.61870910402746 59.009697881517305 3.5447197436607336 1.671 -2.4653099714150706 -6.770016696626463 6.810556850604584
2458810.656703038 351.61174408927496 24674.718704576033 13593.684449568605 30751.11292921972 16617.620862847725 9890.753055344718 9048.769580174938 6732.316126886691 10317.801737931359 4879.96517077823 5703.181026610652 4702.343243447403 4045.878818625293 2618.9898791001547 3862.659537667784 2235.7173401792706 2035.6553413396318 2359.301887784943 2200.31654793761 2301.4305982937535 1391.8600232711383 1780.2322999338019 1285.5208742323734 1236.3416872579978 1157.648900973535 656.4250453192882 904.9950332601749 752.8981218254046 627.9080066906889 597.9439713811535 726.9241662221167 642.6956795850754 352.32353326303274 649.2765018254483 512.7678936571435 645.9290594684272 346.67389779006527 329.38316745033893 304.2666724234162 326.9506187347432 265.0820092894154 240.58369524166326 186.03680815172302 230.3032940227856 205.6761642850978 175.02416157573097 146.84600600248135 190.15962114401566 84.36845682233701 176.0691044374288 138.63797549876557 67.85356669265954 114.97620375153856 91.3577750720028 78.77878926231739 49.0615497202838 94.14243070468304 46.340271637947325 117.53350251853081 53.561699614132884 85.45962169935822 96.82380068014815 81.87450951642629 84.1537044362769 58.159700497832816 3.5469370931828887 1.667 4.354609794706256 -9.305177314589884 6.686614891806372
2458810.657430524 337.378231039706 23205.835179225756 13081.061587864073 30275.98327151127 15839.773169751319 9544.466171873764 8700.711726693493 6491.621381368663 9871.998742911266 4560.860159262967 5620.941036592884 4506.680619223926 3833.7120775412945 2512.364309138211 3704.9033397808867 2150.686006795685 1928.0584473703952 2270.1627385299025 2118.2415618727505 2288.360149046598 1326.061099076875 1718.2701683202574 1251.9960563690702 1172.9889942512884 1135.08403164786 625.0312855933225 862.1938159567283 708.6877828905867 610.6279595458828 578.7957408540369 693.2881818421858 617.419526998812 339.36755892827483 629.0480257562427 502.7290692710103 620.6154877634007 330.870623878815 319.99707357713174 292.8613708591991 312.87969963513945 250.62865515574498 237.5116545892153 181.5393685920215 228.42229485198476 194.1758886937149 172.5033464457602 123.18645803598059 172.0443278493025 82.6290580478663 177.87668123354754 143.30540764461753 66.27888324021066 107.3148887976525 98.67818182263376 83.33862406309733 48.867463949447846 92.27620360410984 37.414024313925744 109.11474446145039 44.58585701947074 80.85021718350885 93.84000148118794 63.5015701632492 73.68917087687187 54.608454600185844 3.5144034885988233 1.662 -4.300498374482068 -7.447331624152895 6.7000612266828865
2458810.6581579954 349.38862721540124 24550.634514821726 13749.97611579178 30531.93035350044 16515.800232349688 9989.704153803023 9051.671819486595 6797.526656916131 10350.800700816853 4830.674461704916 5862.649910051767 4761.807260101218 4029.4853901260076 2623.447140110928 3915.6238915905487 2251.943342004858 2017.4961074726991 2373.437377154828 2208.1713557247017 2308.2407371181316 1398.7208448973747 1817.5860944689266 1290.7016584765468 1230.6611060222328 1164.2172472146665 661.3228749056677 923.9806999398863 742.5826286572488 639.7992028877795 615.9077831276505 735.161615878993 667.768698001976 363.7612164631259 667.2368488916331 524.8377797258653 661.6002897683728 349.18536675611455 333.3305831245245 307.5203311877774 340.5799852163951 260.64193613570933 244.87538918099273 186.01374340680752 241.98220183570254 200.20840254928964 185.38417692916798 144.22699112798824 189.54557388374815 93.78249793267169 192.69122492239742 151.41937173943685 71.73815427543038 113.97065915609177 93.9971774162738 85.4438688305528 53.984687977292076 102.45895714834539 46.9006875142352 111.1454820482361 53.36530478347425 87.19610185445963 94.58517663033685 81.49879628132209 84.16295827652806 47.15057912564831 3.529556477680018 1.658 -4.301051944381626 -9.357789592977014 6.671333705939843
2458810.658885596 322.1539446057068 23361.29885980039 12760.994534494843 28508.258964439385 15479.736270479183 9273.954725888289 8455.711272895092 6275.356083476287 9629.378037086895 4604.146419352982 5619.183022441269 4400.972416323296 3777.8666561103923 2445.092295146234 3633.15655831047 2083.578184672989 1909.237633962296 2232.9833684138353 2054.37656326749 2002.0415769316105 1291.2734543309775 1678.0749908357295 1189.1133165764593 1131.9011643293816 1072.2891301132279 598.381828565008 848.5966886388337 684.3528205356329 600.7039490167178 562.4429317875026 685.395135491747 587.0713382884888 330.7924038077997 614.3800426145202 471.21701352646403 615.1932558699316 316.3624086385925 315.4702370170483 282.5245437158319 297.64623167456824 240.35109932302765 218.1276248614459 178.76262386655907 229.0612426662439 195.57568920876875 164.73570764421044 130.3707504980328 166.068156056129 76.31792669301406 166.9132536708661 122.28752374128102 59.600566076679506 103.8072069418739 84.293756804668 70.4561818678901 48.27403559147739 91.51692897299823 43.36455206242038 115.68288466365581 53.19453018744862 76.77901885286241 93.53995439658623 65.9125267964658 75.47556515115345 49.23728886983796 3.5200820249570324 1.654 6.671875425013422 -5.397327087008172 6.787368091626554
2458810.659613039 357.0327274893665 25239.380281694106 14066.586948901164 32025.354368661345 16970.68911726914 10244.766450781543 9271.606975226816 6976.453786257078 10587.89851180842 4938.194912357636 5985.324817918013 4824.218055624794 4100.0764578573335 2699.727676944885 4005.4305736935426 2305.2021099166614 2079.058880982803 2428.869011178819 2266.114926923569 2247.366352032938 1433.3300906936493 1850.5892619708586 1322.8284746421307 1255.845499895535 1202.2070078361467 654.9965352650452 938.7250921443014 768.3966248897697 651.5917237684897 615.1547746218718 744.5559443932477 667.1553199939204 371.249184829904 679.479645957439 533.0946734823356 663.8716057725295 351.8951279593793 346.94805742776384 317.7600642009997 342.1389624626406 265.4572252030894 245.850212716951 187.47244334661386 244.71364078268223 200.46942345890469 185.14491371964297 148.11971065566976 192.3711029380133 88.14763922492688 194.13546172180153 134.6779452192362 71.31145203768052 115.70273667310248 105.7939756176723 88.07832236791121 48.30357132880878 104.1015921459703 42.498462375665504 102.10068177600891 55.57776096107021 82.47152125774991 104.29316787993508 75.25952275773756 74.51343370456246 58.595838843293436 3.5642950213959392 1.65 2.4533102811413734 -6.188785416765548 6.60131405090891
2458810.660340892 330.73462285624436 23967.121190564863 13022.873285898031 29231.40274821535 15864.369538937122 9530.194985368265 8666.258207015071 6426.985277760853 9962.612020249733 4707.273027712892 5585.152508459451 4544.828320168591 3871.8864682147423 2490.893617918421 3717.8860515095676 2131.7400169717394 1956.8941726789953 2314.0414799713803 2090.1899548939678 2209.8536688907207 1333.7116583298437 1731.4323122306673 1235.8833209167267 1172.2223288467387 1114.2989114873305 622.9935989031867 878.0691742616877 704.166987899312 598.227682896822 577.5894743487163 691.2558807301217 609.9900619526818 348.2763412408486 620.8516915570586 495.8052354276418 628.8440226206199 329.1901197193268 315.95610655203114 290.7225447589414 318.05217182682634 239.6449423072183 229.89004292677808 185.8874101876998 240.8017318818232 195.06734555753124 162.6773041988159 140.8695375344972 175.96286742758008 82.71438856869112 179.14757437451553 130.4860710838269 53.38250027334628 96.69139030522553 94.69723386437497 81.52998820175563 46.874522415002865 94.20494711518319 32.68294647677855 106.94668906408006 50.31493079812487 78.01455491212825 91.78868663800264 77.55996474766374 75.06569013173478 56.20678150830221 3.535063777428732 1.646 5.806573296169166 -4.686621832546109 6.760271149099271
