BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 flux_star_9 flux_star_10 flux_star_11 flux_star_12 flux_star_13 flux_star_14 flux_star_15 flux_star_16 flux_star_17 flux_star_18 flux_star_19 flux_star_20 flux_star_21 flux_star_22 flux_star_23 flux_star_24 flux_star_25 flux_star_26 flux_star_27 flux_star_28 flux_star_29 flux_star_30 flux_star_31 flux_star_32 flux_star_33 flux_star_34 flux_star_35 flux_star_36 flux_star_37 flux_star_38 flux_star_39 flux_star_40 flux_star_41 flux_star_42 flux_star_43 flux_star_44 flux_star_45 flux_star_46 flux_star_47 flux_star_48 flux_star_49 flux_star_50 flux_star_51 flux_star_52 flux_star_53 flux_star_54 flux_star_55 flux_star_56 flux_star_57 flux_star_58 flux_star_59 flux_star_60 flux_star_61 flux_star_62 flux_star_63 flux_star_64 sky airmass xshift yshift sky_entropy
2458810.653797366 1215.2797856186417 34977.92517973656 31746.31065174524 44756.62221067404 23382.858446458566 21281.1597826602 19552.888576977086 14043.58382604645 14095.16908285915 10881.534111714294 8715.374080503752 6653.122337749556 6549.440685661205 5937.629857334224 4901.6261316357695 4727.630658747618 3746.568182446026 3647.273526259203 3403.910499808725 3053.583986935779 2455.076470137751 2611.9334916264797 1935.552052499845 1699.3607011550152 1996.9921028086542 1374.5708563028759 1379.4627972370574 1151.6506110227958 1075.3627329524877 1057.2562569441113 1006.7820916373566 1021.2693343437095 971.956602567831 879.7620055161843 789.9686508990261 901.154524019734 663.6239586687567 501.6818209856249 482.98000364356994 476.635671669952 490.6984954276544 378.05685718574676 379.32494915115313 418.7068414163618 326.0585010917023 321.5042202345382 231.07943355945972 258.7659557239007 240.56176858763234 353.3952455543132 206.2921138299947 169.0761724197325 184.03053397417048 250.6625557735293 171.30670505787614 182.4853966460636 200.05514446618278 115.07807969389347 163.0956130040994 195.66096633213553 166.33082196910934 144.3227275779267 160.69183006472014 139.29695770758627 120.39080943575196 10.485506344169618 1.684 0.0 0.0 6.3893421500779
2458810.6545245275 1122.583031622863 32863.28056673157 29784.518782386658 40764.33661269714 21962.795123887427 19891.43761322556 18659.88617405309 13145.910891098005 13266.600913683813 10106.08987710205 7991.648151716804 6248.030586556877 6155.8091707268195 5609.131836656205 4595.397483988917 4402.62816983159 3526.78409024523 3396.0972891413057 3198.0437162888634 3233.7113380406936 2313.833912977331 2477.5091939916997 1840.95435491575 1604.2708458983357 1902.4560629988093 1291.4190689337406 1275.5170599592561 1071.2044185474624 998.8421911229512 984.579912246668 924.027673047489 976.7185560004623 890.3887095147472 827.4246910892655 726.1405571447589 817.0499947145186 610.8151329723468 478.6547198424584 444.523523304253 453.8824405098843 442.01892263887737 362.9854740022267 351.6351898306178 381.4299131049326 299.037969447878 302.99920897478927 229.27171908319846 263.6327052312612 220.2217317658673 341.62514568133753 198.47933315126792 166.76052261672933 171.95460748717838 245.89366121377267 177.37847017753424 156.48500408836432 178.9964664696512 106.7051598494904 162.46868563905227 180.75952496673708 147.14776472239149 127.0310271152431 157.6152530106934 121.061457450181 108.32462562477231 10.458587617349275 1.679 4.567176883256096 -2.20427931243033 6.577142804409628
2458810.65525152 1079.4896174853716 32042.734196284684 28593.01845065611 38446.36452190762 21113.726806580555 19122.92020571309 17943.5995669944 12670.715931340772 12732.797836998718 9737.38226123875 7864.564225427017 5999.327853138197 5963.975850493862 5387.728745019788 4406.120927050209 4228.447350817736 3391.4866172960747 3305.281709835069 3060.757558335653 3073.3021293118663 2208.8945609554444 2355.3298314857097 1742.593420720374 1526.8508842384372 1764.8697124787661 1246.1116525363382 1239.6682558875389 1038.0831295124817 953.1741542622408 950.7185781749594 916.4237801004036 927.6138017890938 859.2921184340875 804.1902710472181 707.7556251402925 807.6282877126381 586.335689553664 459.83280808994266 438.7856015026082 427.5930499923282 418.96788986924054 340.3407290570746 366.9742827195371 371.0746460924519 304.67643290166984 287.3787182020518 215.65761778254213 240.63852272206398 203.2731373739635 305.92870522306765 186.95449244786383 158.88412873349444 173.14015557545983 219.399175563118 155.4929005234878 172.85113268350008 173.00929711308515 107.87786653279618 172.98298605670547 157.52584588056294 154.26351714264018 128.30061154191668 154.24834086894285 117.78897643612 120.83323348371171 10.464743040958366 1.675 4.831386651600905 -4.306596280205994 6.6666839148358665
2458810.655978957 1122.6925296903585 32659.01250446647 29598.585777847347 41036.36958780259 21784.744273060187 19801.84671665868 18245.742982793858 13061.243380907512 13089.237775845304 10052.088408760103 8087.164793591105 6205.350703652667 6133.083322404648 5533.296866545882 4555.935605179334 4369.674885873045 3478.6951479650684 3416.527039486164 3196.014078272814 2994.095995380922 2278.995965310029 2438.634531370698 1819.8183939186063 1577.2056284415632 1863.6109930755397 1276.1693913530808 1272.9025289114768 1078.4050023647064 982.5749591266397 979.8885488331128 921.4668601237694 952.0301683418201 878.8220577540526 844.716895890411 723.5787333365256 836.9577316980054 611.8396200087775 472.52194827612647 457.046840064839 456.12276159868514 463.52150260819957 362.39684218101803 346.7004928539655 376.1469232976616 288.31735883527267 293.88659879674475 220.84282105150925 231.84560337222527 207.60082861422026 332.3874498215727 188.80910498311883 158.7101798620589 164.81284336923733 227.2670904353244 162.1715254728367 168.13702495554924 172.75492340840066 108.07684700093911 165.05982892537068 159.20487251993714 156.37058392845478 129.37826884873576 151.26101934734592 120.79032542755716 121.40750315382878 10.431479348278904 1.671 -2.2702306528400804 -6.835209841937619 6.6264231565760845
2458810.65670611 1175.184572185039 34798.82846724488 31421.118636718085 44179.182037601466 23244.583175687745 21058.93300267113 19765.59467161231 13831.294050624749 13869.198685333953 10747.87294957322 8427.270865173268 6558.723600733758 6542.979921095292 5912.275836901279 4841.06824857702 4665.455662391858 3707.6595786018015 3579.889449099661 3373.69294693913 3241.3520960363016 2412.4834243276177 2589.961096119789 1933.9739047659962 1682.9026416429726 2015.6886402006269 1368.5777121062522 1344.3971753864087 1141.5873362021207 1063.1612843282878 1032.971742822777 979.1632201349896 1015.5490283636158 928.125328949623 869.7516773036133 778.9319072512474 896.6266669540142 650.881995604122 501.91859481565433 475.7031890777779 477.3563417829449 478.85449249788314 381.15281173739544 365.7418914199918 391.18766906642173 318.3943712986111 308.9046002712741 241.92595626530576 255.96750526937976 217.26291381273114 350.05091803432464 211.62044021480858 173.9662553798029 180.69116260649 250.83699806409763 176.9876901196515 171.67732750018865 192.6805338694275 122.30061482280652 170.24680232149063 187.7723241734874 168.94724837340303 132.99777866997175 167.96789139506728 121.05839646767102 118.40908153729809 10.405752118478748 1.667 4.5565554688424825 -9.37507950965255 6.452729101765712
2458810.6574331825 1130.3978200632662 32907.54676414815 29828.846481760665 41788.69205289446 22053.366510683936 20039.08819609673 18360.915100185506 13219.575584686063 13245.136006416813 10147.289992478207 8117.109765160794 6244.980046494399 6187.608010680646 5619.467223664842 4601.644641336001 4420.161329974516 3495.8036876665883 3445.332039695192 3229.1828654386045 3155.6444167062186 2278.52796071071 2471.0836588368225 1829.7909022980423 1615.062239533789 1932.7164832361743 1305.8771322426603 1281.8778743524383 1080.9686442200657 991.5252108836052 990.4187746027412 926.1696947821981 955.0307403420794 899.18725456006 841.2314687281813 747.36358840467 840.0367904726475 609.6434244896516 469.79843313871487 448.9642252473801 449.5200645029843 472.22024084382576 358.99679870638477 353.87920813562084 389.6095499386477 309.3309199138775 305.4529590845913 211.48080999818413 247.76255469289416 205.03871133135738 345.15307627524015 196.15380461529034 159.4544241648051 169.56179218007844 245.80649846388116 151.08495522553906 153.3744449854979 171.71086426440525 116.84641659444023 156.97548742058814 160.7137072664729 160.55361175315 136.66049613398692 158.1768431744211 125.82552052715474 116.04587819310642 10.430528575494076 1.662 -4.016532602051186 -7.411221141946626 6.482298344980079
2458810.658160319 1184.1529807937002 34804.26938993845 31434.692518984615 42594.875097406555 23027.708156380955 21007.53654621247 19317.334855479323 13832.547942321622 13915.051343063953 10656.607206507259 8523.767755170535 6588.676879023757 6496.117900703214 5901.9374562233625 4850.538352930856 4651.574760231707 3690.2624389048774 3605.48959355342 3410.059217121229 3233.825212909684 2409.018556258157 2581.047002049393 1924.5457991335838 1692.4366593989132 1981.8968057486723 1362.668929270268 1340.812441804146 1143.102139145573 1058.2709556319082 1049.7499723714218 1002.786474049711 1009.1309850925138 947.7420312286995 871.2319602243631 788.1796337954162 903.4132573530648 642.9815090771061 502.0778040110255 473.79129744497794 478.10322723689603 484.07260105962706 387.6352531950385 385.63777592733993 415.18111946677647 315.0968858982931 313.1302955652131 237.687290161062 259.59421092603515 223.0725493337583 346.4444474615865 201.73807208692136 159.7695550580698 180.79156213393145 249.42793724875784 170.54628777370453 182.81826738107944 182.9039116516217 121.14790282802181 166.2149774311809 175.39688780888997 173.62419688115818 142.44488510398904 176.8440540911244 130.24824118771235 118.45626438843101 10.448518006243349 1.658 -4.126754859397547 -9.325080209700445 6.405774315395973
2458810.658887454 1112.1344894424358 32836.04364430874 29424.907587344605 40582.9109154847 21670.679147912895 19704.48174045438 18335.48007708358 12906.851299155103 13000.159827078083 10143.225414687111 8166.354184388769 6114.6803179690305 6079.2534166524765 5509.521944236948 4551.589128024096 4372.803538899028 3450.7313684115156 3307.1634982071796 3125.0159735212683 2774.8287789791384 2249.5868476551204 2425.623403154846 1785.3504657870114 1564.2006279919683 1872.6600926605029 1267.9041195881791 1250.359634704398 1063.2802737666987 998.0890090221915 956.1175841199547 915.8581104807689 942.273642266665 885.5010524732985 810.1294927458415 730.6619952021707 826.9053720196108 614.4918339676146 490.0343084162824 437.2373835963071 444.5043241436142 440.7722404484048 334.043348307487 357.50006818748346 384.8679445937623 294.64143796096613 273.0384104063591 221.9453667488718 242.29251751070453 208.78443180235092 312.6118104148622 193.81222342119364 171.1980008366263 162.30948990636364 238.06078631228155 151.11631065798355 163.74241708211557 186.27462125429568 106.55581209023221 163.89812806612827 163.95268914919532 135.42605949425246 118.72946712555591 141.60321896231616 102.34387211591213 123.01242183609962 10.431901617055846 1.654 6.857424063992983 -5.4316073802395834 6.620376869804499
2458810.659614462 1221.0722374879872 35347.67447808676 32068.23695110242 45185.74300205793 23676.961156906174 21481.233077634926 19897.48555362337 14156.77495201246 14190.268132245641 10913.207602679244 8739.541315275672 6673.876723902674 6624.840209720849 5968.056420047028 4952.204083745787 4748.442414188268 3787.97940061899 3668.2895926254478 3437.0861231935446 3123.1763982688844 2486.672651651533 2634.6375004571937 1977.4114435043243 1717.0522200977337 2051.8701774921715 1384.4633307237098 1381.3523760246835 1169.5371416352566 1075.7391211707404 1058.956097300175 1016.3181961832321 1032.2750243416187 974.8556184750206 895.4321588299356 793.9587664237374 913.5779152063789 666.6238782934912 523.7905329335457 490.1874027118657 495.57213379720247 483.34543761915995 383.2341421449283 391.43766824999136 401.3597060981985 318.2142278334029 330.3388288982603 248.88559499006683 263.5599151869872 232.92154077957045 361.5892059348315 224.8877406010494 182.28002112155858 186.63063814581497 273.9071555505325 176.7548081176974 173.726593543804 185.995900366076 127.98249700130182 162.81592975275683 190.7033237573715 162.93352664610356 138.96834262795358 154.75376126801712 127.35622417122626 128.53224369170155 10.396654573996363 1.65 2.6847001703188518 -6.202101162353564 6.372883969305492
2458810.660341627 1152.3255259405184 33694.3678311177 30275.320865561676 41425.67817534499 22356.18404133105 20339.089335594155 19056.381477312883 13285.084917559425 13507.455342532236 10353.45285406565 8137.547203780134 6354.235240016827 6279.264444629191 5696.422446830596 4680.917663918749 4489.256216439008 3580.465930271454 3481.475978042238 3221.922423012506 3089.530019153865 2335.0946131517053 2523.879945851008 1852.455849606818 1639.2763826843775 1929.7295378997233 1333.235888699878 1324.54722967079 1100.7389832144866 1023.1587127309583 1012.4344901894498 956.8716009063222 979.1877888192777 907.5759457956701 835.2480722797584 734.6524570600319 850.8942247344224 634.2420996454069 489.4826240876956 449.3986644087912 452.4605106748444 448.36229128233464 363.49908664929245 376.8690953086438 376.8008024990913 313.59903040591234 302.72359824179125 231.29270436388833 257.41700297576 216.86896908292255 327.41877513280997 198.33263557841468 178.46801310069543 175.20544160564944 234.8150434422115 165.7314034012522 171.43711091540098 180.30492425310027 101.75271271137584 171.02602195920505 170.73086460646786 171.79233671207038 128.81893318779717 163.46315375312795 118.84780784454367 116.00749083430055 10.391907371560983 1.646 6.203549838026394 -4.5800962945049335 6.575768804921809
