BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459603.934427,1.01040,0.00507,1.3150,1.01,-2.97,6.06,61737
2459603.935876,0.99772,0.00524,1.3143,1.29,-0.19,7.41,50175
2459603.937323,0.99792,0.00542,1.3138,1.18,0.10,7.40,44889
2459603.938773,0.99483,0.00521,1.3134,1.21,-0.76,7.30,51021
2459603.940220,1.00146,0.00514,1.3132,1.88,0.22,7.27,54388
2459603.941667,0.99877,0.00537,1.3130,0.80,-1.00,6.71,48164
2459603.943114,1.00050,0.00514,1.3130,1.58,-0.20,6.88,56815
2459603.944568,1.00134,0.00519,1.3132,0.60,-0.08,6.17,58844
2459603.946015,1.00579,0.00533,1.3134,1.05,1.21,7.46,49300
2459603.947460,1.00310,0.00541,1.3138,0.91,1.18,7.39,49361
2459603.948906,1.00925,0.00620,1.3143,1.16,0.55,8.80,34687
2459603.950359,0.99476,0.00592,1.3149,1.40,0.85,8.16,36761
2459603.951804,1.00536,0.00624,1.3157,1.08,1.15,8.46,32805
2459603.953251,1.00567,0.00545,1.3166,0.24,1.41,6.73,53993
2459603.954703,1.00731,0.00527,1.3176,-0.74,-0.34,6.33,59816
2459603.956149,1.00045,0.00503,1.3187,0.03,0.57,5.37,81313
2459603.957594,1.00481,0.00504,1.3200,-0.96,0.54,6.22,76736
2459603.959046,1.00091,0.00512,1.3214,-0.79,0.89,6.77,64038
2459603.960490,0.99551,0.00524,1.3229,0.19,1.33,6.56,62987
2459603.961941,0.99177,0.00515,1.3246,-1.24,-0.92,6.45,68304
2459603.963386,1.00789,0.00514,1.3263,0.91,2.35,6.50,66396
2459603.964837,1.00131,0.00533,1.3283,0.54,-1.83,7.93,50224
2459603.966281,1.00121,0.00519,1.3303,0.75,-0.74,5.89,69448
2459603.967731,1.00152,0.00545,1.3325,1.19,-0.49,7.22,55386
2459603.969180,1.00250,0.00526,1.3348,0.27,0.12,6.54,63082
2459603.970623,1.00335,0.00549,1.3373,1.04,0.84,6.77,54894
2459603.972075,0.99561,0.00541,1.3399,-0.85,-2.47,6.77,57529
2459603.973527,1.00220,0.00539,1.3427,0.86,-1.23,8.28,47626
2459603.974971,1.00250,0.00560,1.3455,1.14,-2.06,7.89,44994
2459603.976424,1.00962,0.00592,1.3486,1.27,-1.42,7.32,42424
2459603.977871,0.99794,0.00596,1.3517,-0.12,-0.34,7.75,40368
2459603.979319,0.98899,0.00602,1.3550,1.13,-0.33,7.47,43554
2459603.980767,0.99733,0.00567,1.3585,1.33,0.57,8.17,41796
2459603.982214,1.01265,0.00563,1.3621,1.05,-5.40,7.52,46583
2459603.983662,1.00743,0.00615,1.3659,-0.07,-1.81,8.07,39059
2459603.985109,1.00442,0.00579,1.3698,1.48,-0.30,8.31,42562
2459603.986562,1.00170,0.00583,1.3739,1.66,0.96,7.95,38444
2459603.988008,1.00319,0.00580,1.3781,1.81,-2.31,10.09,39630
2459603.989453,1.00344,0.00639,1.3825,1.70,-1.75,8.30,35988
2459603.990906,1.00314,0.00650,1.3870,0.86,0.34,8.75,33621
2459603.992351,1.00936,0.00670,1.3918,-0.19,-0.79,9.55,29643
2459603.995241,0.99136,0.00607,1.4017,0.69,0.08,8.58,37443
2459603.996688,0.97031,0.00616,1.4069,0.52,0.64,8.34,38681
2459603.998138,0.96510,0.00571,1.4123,1.57,-1.16,7.95,42273
2459603.999583,0.96035,0.00568,1.4179,0.89,-0.41,7.74,47798
2459604.001038,0.94797,0.00554,1.4237,-0.35,1.30,7.04,57454
2459604.002484,0.92971,0.00552,1.4296,1.02,-0.26,9.06,46468
2459604.003931,0.91854,0.00531,1.4358,-0.38,-3.62,6.82,67005
2459604.005377,0.90050,0.00542,1.4421,-1.10,1.36,7.93,50203
2459604.006821,0.90580,0.00550,1.4486,-0.05,0.57,9.89,44338
2459604.008310,0.89785,0.00551,1.4556,1.04,-4.00,7.30,53437
2459604.009757,0.89040,0.00531,1.4625,-1.62,-0.14,6.04,65771
2459604.011205,0.89214,0.00555,1.4697,-0.80,0.89,9.45,43502
2459604.012653,0.89777,0.00536,1.4770,-0.12,-2.35,6.10,63958
2459604.014103,0.89795,0.00537,1.4846,-2.63,-0.35,7.12,58674
2459604.015552,0.88651,0.00558,1.4925,0.91,-1.07,9.34,45714
2459604.017001,0.88315,0.00547,1.5005,-0.44,0.00,7.08,53009
2459604.018450,0.88921,0.00556,1.5088,-1.20,-0.13,6.84,52318
2459604.019898,0.89533,0.00553,1.5173,0.89,-0.96,7.29,57952
2459604.021340,0.89328,0.00551,1.5261,-1.93,0.58,6.87,58957
2459604.022789,0.89362,0.00576,1.5351,-0.23,-0.29,9.19,44789
2459604.024237,0.90144,0.00556,1.5444,-0.99,-0.45,6.96,56697
2459604.025686,0.90939,0.00570,1.5539,-1.75,1.17,7.57,52470
2459604.027135,0.92097,0.00581,1.5637,0.13,-0.89,7.69,46392
2459604.028583,0.91187,0.00588,1.5738,-1.99,0.94,7.18,47878
2459604.030032,0.92705,0.00591,1.5842,0.00,0.06,8.80,42926
2459604.031473,0.93269,0.00600,1.5949,-0.60,0.00,8.18,42154
2459604.032922,0.93624,0.00619,1.6059,-2.24,1.70,8.45,38139
2459604.034378,0.96377,0.00604,1.6172,0.85,-1.44,8.27,42741
2459604.035826,0.97108,0.00626,1.6289,-1.82,1.12,8.24,40000
2459604.037275,0.99281,0.00679,1.6408,0.26,-0.35,10.47,28159
2459604.038723,0.99082,0.00645,1.6531,-1.70,0.76,8.77,35460
2459604.040165,1.00299,0.00794,1.6658,-0.93,-0.03,12.55,20408
2459604.041614,1.00000,0.00823,1.6788,-0.14,-0.06,10.55,21227
2459604.043062,0.98994,0.00827,1.6922,-1.02,0.79,12.34,20156
2459604.044511,1.00002,0.00782,1.7060,0.30,-0.94,10.75,23570
2459604.045960,1.01209,0.00773,1.7201,-3.11,1.76,10.45,23669
2459604.047408,0.99273,0.00775,1.7347,0.83,-1.02,9.90,24989
2459604.048857,1.00114,0.00782,1.7497,-1.88,1.28,10.41,26028
2459604.050306,0.99642,0.00817,1.7651,0.32,-1.08,10.65,22618
2459604.051747,1.00800,0.00747,1.7810,-2.41,1.24,10.53,29382
2459604.053196,1.02026,0.00764,1.7974,-0.26,-0.42,10.64,23388
2459604.054644,1.01117,0.00766,1.8142,-1.36,1.50,11.79,25947
2459604.056093,1.01744,0.00838,1.8316,-0.07,-0.62,11.46,22925
2459604.057541,1.00000,0.00802,1.8495,-1.50,0.75,8.46,29349
2459604.058990,0.99440,0.00895,1.8680,-0.27,0.92,14.35,18333
2459604.060439,1.00363,0.00851,1.8870,-1.14,0.53,11.49,21258
2459604.061887,1.00703,0.00862,1.9065,-1.44,0.89,13.99,19568
2459604.063336,0.99922,0.00859,1.9267,-2.06,1.58,12.77,20708
2459604.064785,1.00360,0.00959,1.9475,-0.38,1.92,14.84,15177
