BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459603.934021,1.00116,0.00247,1.3151,-0.60,-0.75,4.92,39566
2459603.934663,0.99804,0.00252,1.3148,-0.36,0.67,5.44,34203
2459603.935306,1.00070,0.00254,1.3145,0.64,0.05,5.96,29646
2459603.935948,1.00508,0.00252,1.3143,-0.80,-0.93,5.41,32221
2459603.936584,0.99946,0.00253,1.3140,-1.55,-0.32,5.81,29161
2459603.937227,1.00019,0.00260,1.3138,-0.02,-0.48,6.53,22869
2459603.937869,0.99890,0.00251,1.3136,0.25,0.58,5.23,35813
2459603.938504,0.99896,0.00251,1.3135,-0.47,-0.93,5.62,31354
2459603.939146,1.00179,0.00253,1.3133,-0.74,-0.57,5.88,27111
2459603.939789,0.99816,0.00250,1.3132,0.03,0.79,5.59,35319
2459603.940431,1.00235,0.00251,1.3131,0.67,-0.60,5.72,33244
2459603.941066,0.99831,0.00261,1.3131,-0.63,0.32,6.53,22323
2459603.941709,0.99618,0.00251,1.3130,0.09,0.64,5.37,30794
2459603.942351,1.00028,0.00253,1.3130,0.14,-0.51,5.71,30050
2459603.942993,0.99887,0.00247,1.3130,-1.21,-0.59,4.72,42119
2459603.943635,0.99997,0.00254,1.3131,0.59,1.06,6.25,28658
2459603.944276,0.99917,0.00250,1.3131,-0.11,0.98,5.37,33507
2459603.944917,1.00385,0.00249,1.3132,0.18,1.49,5.08,37650
2459603.945558,0.99779,0.00248,1.3133,-0.34,0.33,5.12,37019
2459603.946193,1.00164,0.00256,1.3134,-0.60,2.23,5.92,27172
2459603.946834,1.00073,0.00255,1.3136,0.54,1.88,6.36,27779
2459603.947475,1.00500,0.00251,1.3138,-0.35,1.05,5.66,32180
2459603.948117,0.99768,0.00257,1.3140,-0.04,1.00,6.31,26362
2459603.948758,1.00351,0.00273,1.3142,0.35,0.19,7.28,19283
2459603.949399,1.00416,0.00272,1.3145,-0.42,1.12,7.56,17525
2459603.950040,1.00083,0.00264,1.3148,-0.35,1.42,7.16,20057
2459603.950681,1.00224,0.00265,1.3151,-0.20,0.23,6.55,22271
2459603.951322,1.00381,0.00265,1.3154,-0.47,0.53,6.46,21631
2459603.952625,1.00198,0.00273,1.3161,-1.02,1.87,7.58,18388
2459603.953265,1.00238,0.00255,1.3165,-0.32,0.75,5.84,30707
2459603.953906,1.00221,0.00250,1.3170,0.00,0.74,5.00,39478
2459603.954547,1.00561,0.00251,1.3174,-1.16,0.95,4.75,39652
2459603.955188,1.00293,0.00253,1.3179,-0.29,0.54,5.22,36075
2459603.955829,1.00199,0.00245,1.3184,-1.10,0.17,4.20,63403
2459603.956470,1.00115,0.00249,1.3190,-0.06,1.76,5.38,38845
2459603.957110,1.00284,0.00248,1.3195,-1.04,0.98,4.38,55116
2459603.957751,1.00167,0.00248,1.3201,-1.47,1.09,4.80,40661
2459603.958391,1.00506,0.00250,1.3207,0.17,0.77,4.81,41950
2459603.959031,1.00170,0.00249,1.3214,-1.76,0.95,5.00,39462
2459603.959670,0.99947,0.00250,1.3220,-0.10,1.20,5.10,39991
2459603.960310,1.00473,0.00251,1.3227,-0.81,0.68,4.99,39086
2459603.960951,1.00147,0.00250,1.3234,-1.20,0.69,5.00,39650
2459603.961591,1.00443,0.00248,1.3241,0.02,0.23,4.45,48279
2459603.962231,1.00170,0.00249,1.3249,-1.97,1.41,4.77,45648
2459603.962871,1.00617,0.00249,1.3257,-0.68,2.01,4.86,42632
2459603.963511,1.00253,0.00252,1.3265,-0.58,2.50,5.17,37592
2459603.964158,1.00370,0.00251,1.3273,-0.47,0.20,4.96,41682
2459603.964797,0.99993,0.00253,1.3282,0.63,-2.37,5.51,36644
2459603.965437,0.99811,0.00251,1.3291,-1.33,-2.52,5.21,39382
2459603.966075,1.00015,0.00251,1.3300,-0.08,-0.10,4.70,43652
2459603.966715,1.00282,0.00248,1.3310,-0.93,0.44,4.21,51180
2459603.967362,1.00175,0.00261,1.3319,-0.25,0.03,5.89,27233
