BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459603.934314,1.00037,0.00233,1.3150,-0.55,-0.98,5.74,96919
2459603.935531,1.00110,0.00240,1.3144,0.39,-0.04,6.31,95026
2459603.936748,1.00100,0.00246,1.3140,0.09,-0.97,6.86,80800
2459603.937965,1.00005,0.00240,1.3136,0.27,-0.34,6.03,94510
2459603.939182,0.99732,0.00238,1.3133,-0.04,-0.72,6.08,95659
2459603.940388,0.99589,0.00236,1.3131,0.46,0.29,6.19,96135
2459603.941605,0.99491,0.00241,1.3130,0.27,-0.41,6.29,93223
2459603.942822,0.99389,0.00234,1.3130,-0.03,-0.89,6.04,96318
2459603.944039,1.00192,0.00238,1.3131,0.66,0.99,6.25,95733
2459603.945256,1.00208,0.00234,1.3133,0.22,0.54,6.05,96518
2459603.946475,1.00244,0.00245,1.3135,0.58,1.61,6.90,85507
2459603.947693,1.00281,0.00242,1.3139,-0.49,1.29,6.62,93487
2459603.948911,1.00172,0.00268,1.3143,0.34,0.06,7.38,63731
2459603.950130,1.00273,0.00258,1.3148,-0.19,0.29,7.16,69164
2459603.951348,0.99996,0.00259,1.3154,0.23,0.31,7.22,68572
2459603.952566,0.99794,0.00274,1.3161,-0.33,0.40,7.44,59603
2459603.953773,1.00101,0.00235,1.3169,-0.25,0.43,5.75,97031
2459603.954991,1.00671,0.00238,1.3178,-0.20,0.37,5.83,97092
2459603.956210,0.99722,0.00229,1.3188,-0.73,1.01,6.10,97449
2459603.957428,1.00222,0.00231,1.3198,-1.55,0.84,6.35,97698
2459603.958646,0.99801,0.00233,1.3210,-0.83,0.00,5.96,97185
2459603.959864,0.99823,0.00233,1.3222,-0.29,1.25,6.01,97112
2459603.961083,1.00001,0.00234,1.3236,-0.51,0.62,6.14,97096
2459603.962301,1.00000,0.00234,1.3250,-0.50,0.79,5.96,97481
2459603.963519,0.99875,0.00234,1.3265,-0.16,2.05,6.07,97307
2459603.964726,1.00176,0.00240,1.3281,0.29,-1.89,7.38,91685
2459603.965945,0.99715,0.00236,1.3298,-0.54,-1.46,5.97,96869
2459603.967163,1.00533,0.00243,1.3317,-0.10,-0.11,5.76,96582
2459603.968381,0.99977,0.00238,1.3336,0.23,-1.37,6.20,96392
2459603.969599,1.00204,0.00238,1.3356,-0.79,0.31,6.08,97048
2459603.970817,1.00165,0.00248,1.3377,0.00,-0.61,5.76,96058
2459603.972034,1.00197,0.00241,1.3398,0.02,-0.61,5.90,96262
2459603.973251,0.99872,0.00242,1.3421,0.63,0.47,6.58,96080
2459603.974469,0.99945,0.00242,1.3445,0.57,-2.91,6.44,94644
2459603.975686,1.00229,0.00249,1.3470,0.76,-1.35,6.22,93896
2459603.976903,1.00075,0.00270,1.3496,0.55,-1.63,7.10,67534
2459603.978120,1.00325,0.00256,1.3523,-0.00,-0.26,6.56,80665
2459603.979337,1.00137,0.00264,1.3551,0.78,-1.29,6.58,83639
2459603.980554,1.00213,0.00248,1.3580,0.84,1.49,6.55,88099
2459603.981771,1.00168,0.00246,1.3610,0.66,-2.92,7.42,86858
2459603.982989,1.00072,0.00250,1.3641,0.07,-2.52,6.52,86354
2459603.984208,1.00205,0.00276,1.3674,-0.13,-1.26,8.71,54042
2459603.985426,1.00218,0.00252,1.3707,0.79,-0.46,6.73,80261
2459603.986644,1.00627,0.00256,1.3741,1.33,1.41,7.53,70629
2459603.987863,1.00351,0.00256,1.3777,1.27,-2.74,9.18,75869
2459603.989081,0.99873,0.00264,1.3814,1.13,-2.29,6.62,77072
2459603.990299,0.99855,0.00270,1.3851,0.36,-0.09,7.29,66680
2459603.992724,0.99607,0.00275,1.3930,1.42,-0.97,9.01,54926
2459603.995161,0.98516,0.00259,1.4014,0.85,-0.22,7.32,70800
2459603.996379,0.98240,0.00265,1.4058,-0.10,0.47,7.65,67245
2459603.997598,0.96974,0.00248,1.4103,1.17,0.23,7.25,83565
2459603.998816,0.95559,0.00248,1.4149,1.23,-1.80,6.43,88973
2459604.000034,0.94439,0.00243,1.4197,-0.22,-0.12,6.04,95230
2459604.001241,0.93227,0.00242,1.4245,-1.51,1.11,6.54,96018
2459604.002459,0.92643,0.00238,1.4296,0.65,0.01,8.39,82797
2459604.003678,0.91228,0.00233,1.4347,0.16,-1.57,6.20,96874
2459604.004896,0.90943,0.00237,1.4400,-1.00,1.14,8.16,83219
2459604.006114,0.90489,0.00235,1.4454,-0.31,1.52,6.48,96301
2459604.007333,0.90278,0.00236,1.4510,0.21,-1.25,6.94,95111
2459604.008551,0.89588,0.00235,1.4567,0.33,-1.38,6.63,96370
2459604.009769,0.89469,0.00233,1.4626,-0.72,0.42,6.20,97175
2459604.010988,0.88848,0.00234,1.4686,-1.09,1.27,6.20,96177
2459604.012206,0.88844,0.00231,1.4747,-0.08,-1.83,6.35,96639
2459604.013413,0.88902,0.00235,1.4810,-0.75,0.88,7.74,85555
2459604.014632,0.88882,0.00233,1.4875,-1.01,1.64,6.29,96815
2459604.015850,0.88903,0.00235,1.4941,1.15,-2.29,6.81,96405
2459604.017069,0.88604,0.00236,1.5009,-0.46,0.37,7.17,94896
2459604.018287,0.88996,0.00237,1.5079,-1.03,0.72,6.47,93215
2459604.019505,0.89030,0.00235,1.5150,0.82,-1.72,6.46,96599
2459604.020724,0.89521,0.00240,1.5223,-0.82,0.43,6.46,95520
2459604.021942,0.89309,0.00232,1.5298,-1.10,1.41,6.42,97300
2459604.023160,0.89592,0.00240,1.5374,1.11,-1.27,9.38,73784
2459604.024367,0.89660,0.00237,1.5453,-0.26,-0.62,6.35,96673
2459604.025585,0.90186,0.00242,1.5533,-2.04,0.76,6.13,96903
2459604.026804,0.90337,0.00249,1.5615,1.15,-1.41,7.89,72584
2459604.028022,0.90890,0.00247,1.5699,0.08,0.10,7.42,84375
2459604.029240,0.90727,0.00245,1.5785,-1.60,1.25,6.34,96073
2459604.030459,0.92023,0.00243,1.5874,0.20,-2.30,6.70,92614
2459604.031677,0.93012,0.00253,1.5964,-0.72,-0.22,8.18,74774
2459604.032895,0.93755,0.00257,1.6057,-1.16,1.46,7.66,73387
2459604.034112,0.94881,0.00257,1.6151,0.85,-2.03,8.13,70827
2459604.035329,0.96457,0.00260,1.6248,-1.35,-0.23,7.58,71556
2459604.036546,0.97536,0.00268,1.6348,-0.87,1.15,6.99,70668
2459604.037763,0.98413,0.00271,1.6449,1.36,-1.75,7.91,61229
2459604.038980,0.98725,0.00262,1.6553,-2.21,0.21,6.91,75776
2459604.040197,1.00274,0.00316,1.6660,-0.50,-0.46,12.14,34837
2459604.042632,1.00601,0.00308,1.6881,-1.15,2.03,8.96,46205
2459604.043849,1.00433,0.00313,1.6996,0.82,-0.91,10.63,41088
2459604.045056,1.00098,0.00313,1.7113,0.06,0.70,10.46,42631
2459604.046274,1.00391,0.00318,1.7233,-1.51,1.74,9.39,39942
2459604.047492,1.00487,0.00299,1.7356,1.27,-0.59,8.95,48699
2459604.048711,1.00331,0.00320,1.7482,-1.66,1.09,9.82,43877
2459604.049929,1.00531,0.00336,1.7612,1.14,-1.07,12.10,33603
2459604.051147,1.00351,0.00303,1.7744,-1.02,0.23,10.90,46468
2459604.052366,1.00495,0.00304,1.7879,0.34,0.86,8.67,51442
2459604.053583,0.99771,0.00291,1.8018,-0.72,-1.75,10.01,51999
2459604.054800,1.00151,0.00308,1.8161,-1.19,1.91,9.41,47708
2459604.056017,1.00407,0.00317,1.8307,1.07,-1.05,10.31,44887
2459604.057234,1.00940,0.00342,1.8457,-0.85,-0.19,8.86,39593
2459604.058451,1.00556,0.00314,1.8610,-0.95,2.69,9.71,48671
2459604.059668,1.00548,0.00340,1.8768,1.43,-0.93,10.82,37948
2459604.060885,1.00599,0.00311,1.8930,-1.61,1.80,8.88,47806
2459604.062102,1.00829,0.00334,1.9096,1.02,-0.24,12.91,33476
2459604.063319,1.00162,0.00328,1.9265,-1.76,0.97,11.96,40018
2459604.064549,1.00429,0.00353,1.9441,-0.13,2.28,12.43,29675
2459604.065756,0.99828,0.00323,1.9619,0.52,-1.13,9.62,43220
2459604.066974,1.00347,0.00335,1.9804,-1.44,2.57,9.62,40396
2459604.068192,1.00345,0.00336,1.9993,0.61,-0.89,10.88,39604
2459604.069411,1.00463,0.00334,2.0187,0.39,0.35,9.90,40056
2459604.070629,0.99551,0.00361,2.0385,-0.90,1.51,12.34,30779
2459604.071847,1.00568,0.00381,2.0591,-0.36,-0.50,13.19,28308
2459604.073066,1.00807,0.00337,2.0801,-0.77,1.13,10.93,38242
2459604.074284,1.00494,0.00354,2.1017,1.45,-1.30,11.07,33826
2459604.075502,1.00594,0.00445,2.1239,-1.93,3.53,13.06,20454
2459604.076721,1.00226,0.00450,2.1468,0.90,-0.42,13.30,20279
