BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459603.934080,1.00268,0.00201,1.3151,-0.85,-0.08,4.96,42676
2459603.934815,1.00357,0.00204,1.3148,-0.34,-0.07,5.02,40431
2459603.935550,1.00000,0.00205,1.3144,-0.03,0.09,6.25,30260
2459603.936284,1.00086,0.00202,1.3141,-0.92,-0.61,5.67,37172
2459603.937018,1.00436,0.00208,1.3139,-0.33,-0.59,6.54,25336
2459603.937748,1.00017,0.00204,1.3137,-0.06,0.42,5.42,38930
2459603.938483,0.99824,0.00203,1.3135,-0.69,-0.94,5.41,33984
2459603.939217,1.00312,0.00205,1.3133,-0.58,-0.32,6.08,31159
2459603.939951,1.00124,0.00203,1.3132,0.12,0.06,5.21,40499
2459603.940685,0.99977,0.00205,1.3131,0.08,0.66,5.74,32239
2459603.941419,0.99918,0.00206,1.3131,-0.10,0.28,6.04,28712
2459603.942152,1.00327,0.00203,1.3130,-0.25,0.25,5.41,37040
2459603.942887,1.00281,0.00203,1.3130,-0.66,-0.71,4.99,41843
2459603.943621,0.99914,0.00204,1.3131,0.37,0.95,6.20,34077
2459603.944355,1.00059,0.00202,1.3131,0.06,1.00,5.10,39978
2459603.945089,1.00001,0.00202,1.3132,0.12,1.38,5.29,41098
2459603.945822,0.99871,0.00204,1.3134,-0.05,1.17,5.54,34902
2459603.946556,0.99863,0.00206,1.3135,0.32,1.47,6.01,29806
2459603.947289,1.00314,0.00204,1.3137,-0.46,1.94,5.67,35703
2459603.948023,1.00618,0.00207,1.3139,-0.14,1.20,6.08,29957
2459603.950223,0.99956,0.00209,1.3148,-0.56,1.10,6.88,24513
2459603.950956,1.00252,0.00210,1.3152,0.23,0.73,6.60,25039
2459603.951689,1.00225,0.00212,1.3156,0.09,1.19,6.77,23320
2459603.953158,1.00178,0.00207,1.3165,-0.39,0.83,5.83,33916
2459603.953891,1.00087,0.00203,1.3170,-0.14,1.02,4.98,44541
2459603.954624,1.00320,0.00205,1.3175,-0.88,0.81,4.78,40853
2459603.955358,0.99783,0.00202,1.3180,-0.36,0.45,4.62,50189
2459603.956091,1.00102,0.00201,1.3186,-0.62,0.93,4.14,63343
2459603.956824,1.00184,0.00203,1.3193,-1.45,1.52,4.62,50437
2459603.957557,0.99827,0.00202,1.3199,-1.61,1.20,4.63,53612
2459603.958290,0.99966,0.00203,1.3206,-0.66,0.73,4.43,48140
2459603.959023,1.00073,0.00203,1.3213,-1.70,1.24,4.88,48653
2459603.959763,1.00149,0.00203,1.3221,-0.45,1.47,5.42,42732
2459603.960495,0.99966,0.00204,1.3229,-0.87,0.77,4.77,46820
2459603.961228,1.00074,0.00203,1.3237,-0.89,0.99,5.35,44896
2459603.961961,0.99801,0.00202,1.3246,-0.70,1.29,4.68,48876
2459603.962693,1.00022,0.00204,1.3255,-0.29,1.65,4.62,46921
2459603.963426,1.00076,0.00205,1.3264,-0.49,2.61,5.16,42336
2459603.964159,1.00406,0.00204,1.3273,-0.55,0.98,4.86,46095
2459603.964892,1.00032,0.00205,1.3283,0.55,-2.63,5.42,41434
2459603.965631,0.99952,0.00205,1.3294,-0.87,-1.61,5.48,38388
2459603.966364,1.00056,0.00203,1.3304,-0.41,0.00,4.33,59414
2459603.967095,1.00076,0.00209,1.3315,-0.45,-0.02,4.96,38384
2459603.967827,1.00368,0.00206,1.3326,0.01,-0.74,5.07,44435
2459603.968559,1.00356,0.00207,1.3338,-0.12,-0.43,5.75,34427
2459603.969298,1.00398,0.00205,1.3350,0.09,0.30,4.86,48473
2459603.970032,1.00115,0.00206,1.3362,-1.59,0.79,5.17,43080
2459603.970764,1.00312,0.00207,1.3375,-0.29,0.46,5.15,38632
2459603.971498,1.00161,0.00210,1.3388,0.50,-0.57,5.47,35329
2459603.972231,0.99900,0.00207,1.3402,-0.36,-0.19,5.12,40278
2459603.972964,1.00313,0.00206,1.3415,-0.00,1.71,4.58,44746
2459603.973697,1.00076,0.00208,1.3430,1.31,-0.84,6.64,33328
2459603.974430,0.99894,0.00207,1.3444,0.00,-3.71,5.94,32763
2459603.975163,0.99984,0.00209,1.3459,1.18,-1.53,5.93,34721
2459603.975895,0.99592,0.00208,1.3474,0.64,-1.41,5.31,36886
2459603.977361,1.00068,0.00212,1.3506,1.21,-1.09,6.24,28763
2459603.978096,1.00073,0.00211,1.3522,-0.40,-0.34,6.04,30661
2459603.978831,1.00114,0.00216,1.3539,-0.14,-0.28,6.29,26776
2459603.979565,1.00273,0.00213,1.3556,1.24,-1.17,6.02,31069
2459603.980292,0.99875,0.00210,1.3573,-0.13,1.49,6.21,30180
2459603.981026,0.99889,0.00209,1.3591,0.94,0.69,6.54,30060
2459603.981761,1.00128,0.00208,1.3609,1.21,-4.14,5.97,36952
2459603.982502,1.00087,0.00211,1.3628,0.19,-2.47,6.50,26482
2459603.983237,1.00059,0.00210,1.3647,0.59,-2.55,5.83,32260
2459603.984698,1.00182,0.00212,1.3686,0.35,0.24,6.11,28330
2459603.985439,1.00220,0.00211,1.3707,1.50,-0.73,6.12,30509
2459603.986173,1.00012,0.00213,1.3727,0.61,-0.18,6.51,26404
2459603.986906,1.00167,0.00211,1.3748,1.27,1.61,7.55,25056
2459603.987632,1.00009,0.00210,1.3770,1.46,-2.59,7.88,28727
2459603.988366,1.00126,0.00214,1.3792,0.49,-2.48,9.38,22884
2459603.989106,0.99807,0.00217,1.3814,1.31,-2.66,6.15,28205
2459603.990572,0.99769,0.00214,1.3860,0.04,0.74,6.30,28447
2459603.994975,0.98642,0.00212,1.4007,1.09,-1.08,6.45,27096
2459603.995707,0.97842,0.00212,1.4033,-0.58,0.97,6.53,27648
2459603.996444,0.97413,0.00213,1.4060,0.25,0.34,7.01,24699
