BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.522108,1.00642,0.00222,1.1441,1.00,-1.22,10.07,21215
2460356.522213,0.99757,0.00221,1.1445,1.01,-0.81,8.41,25449
2460356.522319,0.99664,0.00220,1.1448,0.83,-0.69,7.69,28294
2460356.522423,0.99791,0.00220,1.1452,-1.90,-0.50,7.24,31984
2460356.522528,0.99962,0.00221,1.1456,-2.40,-0.79,8.61,27692
2460356.522634,0.99951,0.00220,1.1459,-3.19,-0.12,8.12,30476
2460356.522739,0.99795,0.00220,1.1463,-3.81,-0.69,8.46,33481
2460356.522844,0.99902,0.00220,1.1467,-3.93,-0.70,8.16,30662
2460356.522949,0.99779,0.00220,1.1470,-4.43,-0.14,8.26,29009
2460356.523055,1.00102,0.00220,1.1474,-5.25,-0.38,8.54,27146
2460356.523160,0.99946,0.00221,1.1478,-2.81,-0.12,9.02,23948
2460356.523265,1.00171,0.00220,1.1482,-1.44,0.10,8.27,30365
2460356.523371,0.99989,0.00220,1.1485,-1.14,0.01,8.65,26610
2460356.523476,0.99592,0.00220,1.1489,-0.53,0.20,7.63,31518
2460356.523581,0.99667,0.00219,1.1493,0.75,0.09,7.50,39637
2460356.523686,1.00154,0.00221,1.1496,2.08,0.30,8.54,26377
2460356.523791,0.99630,0.00221,1.1500,2.91,0.12,8.85,24784
2460356.523896,0.99683,0.00220,1.1504,3.94,0.08,8.11,31696
2460356.524001,0.99575,0.00221,1.1508,4.79,0.20,8.30,28773
2460356.524106,0.99399,0.00220,1.1511,6.15,0.90,6.85,33975
2460356.524212,1.00000,0.00220,1.1515,6.23,0.77,7.60,32923
2460356.524317,1.00103,0.00221,1.1519,4.74,0.75,8.06,29378
2460356.524422,0.99508,0.00222,1.1523,0.16,0.84,9.07,21759
2460356.524527,0.99547,0.00221,1.1527,-3.59,0.88,8.22,26282
2460356.524632,1.00135,0.00220,1.1530,-5.38,0.86,8.11,30480
2460356.524737,0.99766,0.00221,1.1535,-6.12,1.15,8.76,25634
2460356.524843,0.99770,0.00221,1.1538,-6.23,0.80,9.90,25960
2460356.524948,0.99527,0.00221,1.1542,-6.33,1.01,8.30,26523
2460356.525053,0.99463,0.00222,1.1546,-2.90,0.75,10.65,19844
2460356.525158,1.00465,0.00221,1.1550,-1.32,0.43,8.39,28899
2460356.525264,0.99415,0.00220,1.1553,-1.73,0.51,8.35,29257
2460356.525369,0.99975,0.00221,1.1557,-1.69,0.49,9.03,23410
2460356.525474,0.99906,0.00221,1.1561,-0.33,1.12,7.81,29432
2460356.525580,0.99603,0.00220,1.1565,1.54,0.93,7.89,31058
2460356.525684,0.99919,0.00221,1.1569,2.40,0.11,9.53,23977
2460356.525790,1.00329,0.00221,1.1573,3.54,-0.32,8.75,25572
2460356.525895,0.99941,0.00221,1.1577,4.78,0.01,8.37,27515
2460356.526000,0.99876,0.00221,1.1580,6.01,-0.15,9.52,25203
2460356.526105,0.99556,0.00220,1.1584,6.61,0.21,7.72,33690
2460356.526211,0.99803,0.00222,1.1588,4.58,-0.35,8.20,28305
2460356.526316,0.99837,0.00222,1.1592,0.35,0.07,10.33,20544
2460356.526421,1.00032,0.00220,1.1596,-3.40,0.37,7.90,29622
2460356.526526,0.99823,0.00220,1.1600,-5.76,0.68,8.46,29541
2460356.526631,0.99695,0.00220,1.1604,-5.79,0.21,8.31,30797
2460356.526736,0.99427,0.00220,1.1608,-5.73,1.06,7.94,28550
2460356.526841,1.00016,0.00222,1.1612,-4.48,0.73,8.43,26989
2460356.526946,0.99959,0.00224,1.1616,-0.75,-0.20,9.18,21108
2460356.527052,0.99903,0.00221,1.1620,1.11,-0.85,8.08,29916
2460356.527157,0.99929,0.00221,1.1624,1.86,-0.37,7.94,32099
2460356.527262,0.99861,0.00222,1.1628,2.52,-0.35,8.35,28927
2460356.527367,1.00190,0.00222,1.1631,3.47,-0.22,8.32,26892
2460356.527472,0.99792,0.00221,1.1635,5.38,-0.14,7.78,28481
2460356.527577,0.99864,0.00222,1.1639,3.96,0.30,9.23,22667
2460356.527682,0.99615,0.00222,1.1643,3.46,0.02,8.43,26523
2460356.527788,0.99716,0.00221,1.1647,3.62,-0.00,8.73,26307
2460356.527893,0.99571,0.00221,1.1651,4.38,0.31,8.54,26832
2460356.527998,0.99979,0.00221,1.1655,4.58,0.15,8.02,31521
2460356.528104,0.99717,0.00221,1.1659,3.81,0.19,8.07,29463
2460356.528209,0.99532,0.00223,1.1663,-0.47,0.35,8.81,22244
2460356.528314,0.99982,0.00222,1.1668,-3.99,0.17,7.69,32476
2460356.528420,0.99287,0.00222,1.1672,-7.05,0.61,7.98,27773
2460356.528525,0.99870,0.00221,1.1676,-8.67,1.07,8.03,31480
2460356.528631,0.99697,0.00221,1.1680,-8.94,0.58,7.99,28853
2460356.528736,0.99478,0.00220,1.1684,-8.52,0.86,8.83,28782
2460356.528946,0.99570,0.00220,1.1692,0.85,-0.45,8.07,33410
2460356.529051,0.99802,0.00221,1.1696,1.61,-0.50,7.88,34433
2460356.529157,0.99841,0.00221,1.1700,2.12,-0.44,7.93,30004
2460356.529262,0.99982,0.00221,1.1704,2.89,-0.33,8.31,33854
2460356.529367,0.99859,0.00222,1.1708,3.89,-0.60,8.25,26626
2460356.529472,0.99483,0.00221,1.1712,3.83,0.12,8.39,27417
2460356.529577,1.00091,0.00221,1.1716,4.24,0.18,7.89,32834
2460356.529682,0.99745,0.00221,1.1720,4.83,0.16,7.88,33721
2460356.529787,0.99866,0.00221,1.1725,4.69,-0.10,7.49,33822
2460356.529892,1.00371,0.00221,1.1729,5.42,0.31,7.91,32412
2460356.529997,1.00004,0.00222,1.1733,5.07,0.03,7.42,30507
2460356.530102,0.99602,0.00221,1.1737,1.37,0.69,9.25,25663
2460356.530207,0.99722,0.00222,1.1741,-2.62,0.64,8.09,27682
2460356.530312,0.99994,0.00221,1.1745,-5.13,0.42,7.64,33054
2460356.530418,0.99579,0.00221,1.1749,-7.26,0.88,8.52,27958
2460356.530523,0.99482,0.00222,1.1754,-7.70,1.11,8.37,28325
2460356.530628,0.99660,0.00222,1.1758,-7.38,0.96,8.34,30451
2460356.530733,0.99848,0.00223,1.1762,-2.15,0.30,11.54,21707
2460356.530838,1.00234,0.00222,1.1766,0.69,-0.35,8.43,35223
2460356.530944,1.00322,0.00223,1.1770,0.36,-0.30,8.55,29477
2460356.531049,0.99958,0.00222,1.1774,0.47,0.17,8.33,29485
2460356.531154,1.00006,0.00222,1.1779,1.45,0.32,8.16,25907
2460356.531259,0.99694,0.00223,1.1783,1.62,0.39,7.95,26591
2460356.531364,0.99946,0.00222,1.1787,2.54,-0.43,8.50,26998
2460356.531469,1.00117,0.00221,1.1791,3.42,-1.22,7.89,29158
2460356.531574,1.00286,0.00224,1.1796,3.91,-0.68,8.39,24869
2460356.531679,0.99900,0.00222,1.1800,4.26,-0.92,8.40,27373
2460356.531785,0.99848,0.00222,1.1804,4.53,-0.42,7.71,33082
2460356.531890,1.00378,0.00222,1.1808,5.15,-0.56,8.66,32341
2460356.531995,0.99744,0.00222,1.1813,2.13,-0.51,9.26,22197
2460356.532100,0.99712,0.00221,1.1817,-1.04,-0.52,8.24,30607
2460356.532205,1.00202,0.00222,1.1821,-3.98,-0.25,7.82,31764
2460356.532310,0.99994,0.00222,1.1825,-6.24,-0.19,8.18,29259
2460356.532416,0.99793,0.00222,1.1830,-7.99,0.30,8.08,30776
2460356.532521,1.00082,0.00222,1.1834,-7.58,0.18,7.90,30854
2460356.532626,0.99534,0.00223,1.1838,-1.91,-0.26,9.49,23479
2460356.532731,1.00029,0.00222,1.1843,1.12,-0.51,7.15,33051
2460356.532836,0.99693,0.00223,1.1847,0.55,-0.23,7.87,29548
2460356.532942,0.99843,0.00222,1.1851,1.12,-0.56,8.47,30219
2460356.533047,0.99903,0.00222,1.1856,1.38,-0.06,8.18,32459
2460356.533152,0.99879,0.00222,1.1860,2.10,0.07,7.80,32162
2460356.533257,0.99956,0.00222,1.1864,2.64,-0.06,8.13,33315
2460356.533362,1.00210,0.00223,1.1869,3.92,-0.12,8.78,24369
2460356.533467,0.99826,0.00224,1.1873,4.50,0.35,8.54,26180
2460356.533572,0.99745,0.00223,1.1877,4.64,0.21,7.83,29527
2460356.533678,0.99812,0.00223,1.1882,5.26,0.06,7.65,31567
2460356.533783,0.99662,0.00222,1.1886,5.62,0.69,7.56,30198
2460356.533888,0.99702,0.00224,1.1890,3.37,-0.60,9.11,23628
2460356.533994,0.99768,0.00222,1.1895,0.66,-0.71,8.12,31117
2460356.534099,1.00022,0.00223,1.1899,-1.71,-0.81,8.19,27776
2460356.534204,0.99918,0.00223,1.1904,-4.51,-0.49,8.09,28540
2460356.534309,0.99569,0.00224,1.1908,-7.35,-0.26,8.75,24666
2460356.534413,0.99921,0.00222,1.1912,-7.76,-0.14,7.81,29922
