BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.522108,1.00469,0.00234,1.1441,0.83,-0.88,8.34,12970
2460356.522213,1.00063,0.00234,1.1445,0.33,-0.42,6.97,14963
2460356.522318,0.99999,0.00232,1.1448,0.23,-0.33,6.09,17326
2460356.522423,1.00263,0.00233,1.1452,-2.72,0.10,5.71,20597
2460356.522528,1.00325,0.00234,1.1456,-2.96,-0.38,7.14,15962
2460356.522634,0.99863,0.00233,1.1459,-4.08,0.09,6.68,18191
2460356.522739,1.00467,0.00233,1.1463,-4.43,-0.46,6.91,18598
2460356.522844,0.99967,0.00233,1.1467,-4.45,-0.09,6.79,19144
2460356.522949,1.00354,0.00233,1.1470,-4.97,0.30,6.75,17938
2460356.523055,1.00134,0.00233,1.1474,-5.89,-0.16,7.18,17341
2460356.523160,1.00241,0.00234,1.1478,-3.26,0.16,8.06,13320
2460356.523265,1.00049,0.00232,1.1482,-1.89,0.75,6.95,19141
2460356.523371,1.00110,0.00233,1.1485,-1.98,0.38,7.38,16267
2460356.523476,1.00007,0.00233,1.1489,-1.55,0.65,6.19,19405
2460356.523581,0.99828,0.00232,1.1493,0.22,0.18,6.40,23228
2460356.523686,1.00322,0.00234,1.1496,1.25,0.41,7.14,15710
2460356.523791,1.00127,0.00234,1.1500,2.38,0.30,7.61,14442
2460356.523896,1.00423,0.00233,1.1504,3.06,0.35,6.62,18847
2460356.524001,1.00417,0.00234,1.1508,4.09,0.47,6.91,16816
2460356.524106,1.00524,0.00233,1.1511,5.47,1.17,5.49,21873
2460356.524212,1.00329,0.00233,1.1515,5.46,0.93,5.96,20769
2460356.524317,0.99729,0.00232,1.1519,4.08,0.95,6.37,18335
2460356.524422,1.00303,0.00235,1.1523,-0.37,1.09,8.22,13275
2460356.524527,1.00301,0.00234,1.1527,-4.30,1.15,6.79,14868
2460356.524632,1.00307,0.00233,1.1530,-6.10,0.99,6.64,18591
2460356.524737,0.99841,0.00233,1.1535,-6.74,1.22,7.36,15822
2460356.524843,1.00261,0.00234,1.1538,-6.87,1.19,8.12,15114
2460356.524948,0.99985,0.00233,1.1542,-7.09,1.17,6.82,15843
2460356.525053,1.00449,0.00235,1.1546,-3.54,1.06,9.63,12053
2460356.525159,1.00565,0.00234,1.1550,-1.95,0.57,6.43,18813
2460356.525264,0.99743,0.00233,1.1553,-2.40,0.93,6.83,17233
2460356.525369,1.00249,0.00234,1.1557,-2.40,1.13,7.74,14325
2460356.525474,0.99906,0.00233,1.1561,-0.94,1.52,6.08,17946
2460356.525579,0.99704,0.00232,1.1565,0.76,1.17,6.42,20263
2460356.525684,1.00239,0.00234,1.1569,1.67,0.45,8.37,13136
2460356.525789,1.00200,0.00233,1.1573,2.60,-0.08,7.10,16418
2460356.525895,1.00409,0.00234,1.1577,4.17,0.40,7.14,16127
2460356.526000,1.00685,0.00235,1.1580,5.14,0.08,8.09,14077
2460356.526105,1.00531,0.00234,1.1584,5.80,0.46,6.57,19743
2460356.526210,0.99923,0.00234,1.1588,3.94,0.05,6.86,17387
2460356.526316,1.00368,0.00235,1.1592,-0.51,0.60,9.43,10607
2460356.526421,1.00174,0.00233,1.1596,-3.84,0.44,6.38,17468
2460356.526526,1.00106,0.00233,1.1600,-6.52,0.71,6.84,17455
2460356.526631,0.99786,0.00233,1.1604,-6.45,0.81,7.08,17494
2460356.526736,1.00152,0.00234,1.1608,-6.17,1.34,6.36,18685
2460356.526841,1.00543,0.00235,1.1612,-5.04,1.04,7.01,17400
2460356.526946,1.00364,0.00235,1.1616,-1.36,0.20,7.45,12536
2460356.527052,1.00082,0.00233,1.1620,0.55,-0.51,6.52,17905
2460356.527157,1.00246,0.00233,1.1624,1.00,-0.21,6.21,20496
2460356.527262,1.00520,0.00235,1.1628,1.78,0.20,6.96,17351
2460356.527367,1.00554,0.00235,1.1631,2.68,0.28,7.04,17661
2460356.527472,1.00072,0.00233,1.1635,4.56,-0.06,6.61,17619
2460356.527577,1.00391,0.00234,1.1639,3.10,0.52,7.63,13578
2460356.527683,1.00386,0.00235,1.1643,2.62,0.39,7.12,15736
2460356.527788,0.99809,0.00233,1.1647,2.83,0.23,7.29,15074
2460356.527893,0.99742,0.00233,1.1651,3.58,0.36,6.65,15989
2460356.527998,0.99869,0.00233,1.1655,3.92,0.12,6.62,19453
2460356.528104,1.00277,0.00234,1.1659,2.99,0.41,6.54,17365
2460356.528209,1.00299,0.00235,1.1664,-1.29,0.76,7.60,11879
2460356.528315,1.00184,0.00234,1.1668,-4.56,0.77,6.44,18567
2460356.528420,0.99981,0.00234,1.1672,-7.50,1.18,6.63,17334
2460356.528525,1.00159,0.00234,1.1676,-9.38,1.22,6.31,18999
2460356.528631,1.00072,0.00234,1.1680,-9.66,0.96,6.45,19019
2460356.528736,0.99879,0.00233,1.1684,-9.47,0.92,7.26,17059
2460356.528946,0.99919,0.00233,1.1692,0.09,-0.35,6.25,19793
2460356.529052,0.99815,0.00233,1.1696,1.02,-0.18,6.63,18691
2460356.529157,0.99899,0.00233,1.1700,1.53,-0.35,6.61,19718
2460356.529262,1.00051,0.00234,1.1704,2.42,-0.35,6.90,19303
2460356.529367,1.00168,0.00234,1.1708,3.21,0.05,7.35,15646
2460356.529472,1.00446,0.00234,1.1712,3.23,0.53,7.29,16046
2460356.529577,1.00512,0.00235,1.1716,3.36,0.58,6.15,20297
2460356.529682,0.99974,0.00234,1.1720,3.97,0.44,6.26,21017
2460356.529787,1.00383,0.00234,1.1725,4.11,0.41,6.12,21386
2460356.529892,1.00261,0.00234,1.1729,4.82,0.41,6.62,18496
2460356.529997,1.00521,0.00235,1.1733,4.49,0.02,5.95,18968
2460356.530102,1.00026,0.00235,1.1737,0.70,0.82,8.35,14947
2460356.530207,1.00249,0.00234,1.1741,-3.51,1.05,6.75,16905
2460356.530312,0.99990,0.00233,1.1745,-5.54,0.89,6.19,18325
2460356.530418,1.00242,0.00234,1.1749,-7.92,1.09,7.21,17226
2460356.530523,1.00038,0.00234,1.1754,-8.29,0.94,6.72,18282
2460356.530628,1.00340,0.00235,1.1758,-7.84,0.88,7.15,17524
2460356.530733,1.00126,0.00235,1.1762,-2.64,0.68,11.19,11250
2460356.530838,1.00528,0.00235,1.1766,0.09,-0.04,6.88,20925
2460356.530944,1.00177,0.00234,1.1770,-0.40,-0.05,6.96,18480
2460356.531049,1.00151,0.00234,1.1774,-0.32,0.04,6.86,18072
2460356.531154,1.00082,0.00234,1.1779,0.52,0.57,6.94,16753
