BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.522108,1.00553,0.00244,1.1441,-0.37,-0.97,7.94,22360
2460356.522213,1.00214,0.00245,1.1445,-0.34,-0.71,7.00,27522
2460356.522319,0.99690,0.00243,1.1448,-0.62,-0.67,6.14,30386
2460356.522423,1.00330,0.00243,1.1452,-3.25,-0.28,5.45,36436
2460356.522528,0.99982,0.00243,1.1456,-3.74,-0.97,6.97,29476
2460356.522634,0.99762,0.00243,1.1459,-4.67,-0.31,6.42,32233
2460356.522739,0.99609,0.00242,1.1463,-4.97,-0.62,7.10,31626
2460356.522844,0.99368,0.00242,1.1467,-4.96,-0.78,6.80,31458
2460356.522949,0.99731,0.00243,1.1470,-5.81,-0.30,6.80,30998
2460356.523055,1.00053,0.00243,1.1474,-6.31,-0.24,7.16,30514
2460356.523160,0.99885,0.00244,1.1478,-3.75,-0.13,8.03,23739
2460356.523265,0.99714,0.00242,1.1482,-3.16,0.13,6.43,32381
2460356.523371,0.99810,0.00242,1.1485,-2.45,0.27,6.84,29495
2460356.523476,0.99720,0.00242,1.1489,-2.19,0.37,5.82,34813
2460356.523581,0.99983,0.00242,1.1493,-0.61,-0.01,5.90,38567
2460356.523686,1.00207,0.00244,1.1496,0.56,0.41,6.85,27530
2460356.523791,0.99901,0.00244,1.1500,1.55,0.27,7.51,24391
2460356.523896,1.00061,0.00243,1.1504,2.50,0.12,6.30,33668
2460356.524001,1.00087,0.00244,1.1508,3.50,0.16,7.04,28530
2460356.524107,1.00031,0.00243,1.1511,5.15,1.05,5.59,38145
2460356.524212,1.00052,0.00242,1.1515,4.91,0.63,5.84,33803
2460356.524317,1.00149,0.00243,1.1519,3.59,0.95,6.48,32565
2460356.524422,0.99754,0.00244,1.1523,-1.02,0.98,8.07,24683
2460356.524526,0.99736,0.00243,1.1527,-4.80,1.01,6.67,27283
2460356.524632,0.99884,0.00242,1.1530,-6.69,1.00,6.56,32589
2460356.524737,0.99929,0.00244,1.1535,-7.20,0.84,7.19,26941
