BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.522108,1.00586,0.00248,1.1441,0.31,-0.32,10.43,22943
2460356.522213,1.00558,0.00248,1.1445,0.22,-0.58,8.70,28741
2460356.522318,1.00013,0.00246,1.1448,-0.46,-0.11,7.74,31237
2460356.522423,1.00335,0.00246,1.1452,-3.19,-0.39,7.35,32382
2460356.522528,1.00174,0.00247,1.1456,-3.18,-0.52,8.72,31507
2460356.522634,0.99784,0.00246,1.1459,-4.55,-0.26,8.34,31269
2460356.522739,1.00481,0.00247,1.1463,-4.98,-0.49,8.57,35103
2460356.522844,1.00278,0.00246,1.1467,-4.67,-0.09,8.61,28988
2460356.522949,1.00120,0.00246,1.1470,-5.16,0.13,9.11,29989
2460356.523055,1.00113,0.00246,1.1474,-5.81,0.03,8.89,31233
2460356.523160,1.00185,0.00248,1.1478,-3.34,0.01,8.61,24537
2460356.523265,1.00036,0.00246,1.1482,-2.71,0.69,8.81,31054
2460356.523371,1.00555,0.00247,1.1485,-2.01,0.83,9.17,29794
2460356.523476,1.00562,0.00247,1.1489,-1.74,0.71,7.85,34016
2460356.523581,1.00462,0.00246,1.1493,-0.07,0.69,7.83,36972
2460356.523686,1.00372,0.00247,1.1496,1.23,0.85,8.99,25768
2460356.523791,0.99874,0.00247,1.1500,2.14,0.46,9.75,25922
2460356.523896,0.99722,0.00245,1.1504,3.06,0.66,8.26,34851
2460356.524001,1.00096,0.00247,1.1508,4.00,0.65,8.42,31391
2460356.524106,1.00016,0.00247,1.1511,5.22,1.29,7.13,32869
2460356.524212,1.00195,0.00246,1.1515,5.22,1.18,8.15,35753
2460356.524317,1.00317,0.00246,1.1519,4.16,0.90,8.52,33409
2460356.524422,1.00360,0.00249,1.1523,-0.49,1.16,8.98,23886
2460356.524526,1.00201,0.00248,1.1527,-4.44,1.03,8.53,28692
2460356.524632,1.00038,0.00247,1.1530,-6.17,0.75,8.78,32993
2460356.524737,0.99821,0.00246,1.1535,-6.81,1.06,9.35,29963
2460356.524843,1.00812,0.00248,1.1538,-6.83,0.96,10.43,27075
2460356.524948,1.00051,0.00247,1.1542,-7.14,1.10,8.74,28255
2460356.525053,1.00361,0.00249,1.1546,-3.60,0.92,10.98,21342
2460356.525159,1.00238,0.00246,1.1550,-2.10,0.80,8.95,29275
2460356.525264,1.00402,0.00248,1.1553,-2.52,0.79,9.26,30274
2460356.525369,1.00145,0.00248,1.1557,-2.67,0.88,9.88,25567
2460356.525474,1.00274,0.00247,1.1561,-1.11,1.14,8.18,34697
2460356.525580,1.00174,0.00247,1.1565,0.78,1.27,8.38,29666
2460356.525684,0.99879,0.00247,1.1569,1.50,0.46,9.86,27139
2460356.525789,1.00296,0.00247,1.1573,1.91,0.07,8.81,31749
2460356.525895,0.99995,0.00247,1.1577,3.95,0.76,8.76,29682
2460356.526000,0.99644,0.00246,1.1580,4.60,0.65,9.89,26923
2460356.526105,0.99995,0.00247,1.1584,5.46,0.45,7.77,35034
2460356.526210,1.00129,0.00248,1.1588,3.24,0.01,8.52,31798
2460356.526316,1.00507,0.00249,1.1592,-0.21,0.25,10.49,22879
2460356.526421,1.00523,0.00247,1.1596,-4.63,0.36,7.88,30107
2460356.526526,1.00223,0.00247,1.1600,-6.96,0.93,8.81,30424
2460356.526631,0.99979,0.00247,1.1604,-6.86,0.79,8.80,28958
2460356.526736,0.99440,0.00246,1.1608,-6.54,1.12,8.22,27836
2460356.526841,1.00031,0.00247,1.1612,-5.46,1.04,8.66,30266
2460356.527052,1.00181,0.00247,1.1620,0.27,-0.30,8.81,32955
2460356.527157,0.99976,0.00246,1.1624,0.83,-0.13,8.49,36330
2460356.527262,1.00006,0.00247,1.1628,1.44,-0.17,9.05,31592
2460356.527367,1.00526,0.00248,1.1631,2.37,0.12,9.02,27547
2460356.527472,1.00300,0.00247,1.1635,4.61,0.03,8.25,28817
2460356.527577,1.00197,0.00248,1.1639,2.93,0.86,9.09,25185
2460356.527682,1.00027,0.00248,1.1643,2.73,0.47,8.81,27559
2460356.527788,1.00142,0.00247,1.1647,2.94,0.36,9.05,27170
2460356.527893,0.99943,0.00247,1.1651,3.43,0.62,9.17,28369
2460356.527998,1.00035,0.00247,1.1655,4.06,0.34,8.39,31454
2460356.528104,0.99508,0.00246,1.1659,3.35,0.83,9.12,28469
2460356.528209,1.00113,0.00249,1.1664,-1.18,0.64,8.52,25251
2460356.528315,1.00167,0.00248,1.1668,-4.79,0.70,7.75,35769
2460356.528420,1.00029,0.00248,1.1672,-8.02,0.64,7.87,28449
2460356.528525,0.99651,0.00247,1.1676,-9.61,0.93,8.30,32105
2460356.528631,1.00175,0.00247,1.1680,-9.81,1.05,8.63,30520
2460356.528736,0.99793,0.00247,1.1684,-9.03,1.28,9.36,31863
2460356.528946,0.99707,0.00246,1.1692,-0.26,-0.47,8.74,32456
2460356.529052,0.99963,0.00247,1.1696,0.65,-0.18,8.42,34694
2460356.529156,1.00503,0.00247,1.1700,1.73,-0.38,8.07,34334
2460356.529262,0.99870,0.00247,1.1704,1.75,-0.37,8.70,34039
2460356.529367,1.00290,0.00248,1.1708,3.32,0.09,9.07,26324
2460356.529472,0.99854,0.00247,1.1712,3.30,0.42,8.95,29950
2460356.529577,1.00068,0.00247,1.1716,3.70,0.32,7.99,31596
2460356.529682,1.00372,0.00247,1.1720,3.80,0.26,8.15,35334
2460356.529787,0.99921,0.00247,1.1725,3.78,0.29,7.86,32403
2460356.529892,0.99833,0.00246,1.1729,4.64,0.35,8.80,31353
2460356.529997,0.99639,0.00247,1.1733,3.96,0.62,8.09,28269
2460356.530102,1.00478,0.00248,1.1737,0.28,0.85,9.02,32491
2460356.530207,1.00327,0.00248,1.1741,-3.64,0.99,8.45,29285
2460356.530312,1.00527,0.00248,1.1745,-6.12,0.70,8.26,33372
2460356.530418,1.00128,0.00248,1.1749,-7.75,1.36,8.72,33008
2460356.530523,0.99401,0.00247,1.1754,-8.72,0.76,8.66,27829
2460356.530628,1.00179,0.00248,1.1758,-8.07,1.11,8.93,30155
2460356.530838,1.00561,0.00248,1.1766,-0.25,-0.31,8.85,34460
2460356.530944,1.00424,0.00249,1.1770,-0.33,0.06,8.95,31055
2460356.531049,1.00315,0.00248,1.1774,-0.27,0.44,9.11,26933
2460356.531154,1.00137,0.00248,1.1779,0.50,0.49,8.61,31052
2460356.531259,1.00509,0.00250,1.1783,1.04,1.27,8.63,29395
2460356.531364,1.00195,0.00248,1.1787,1.83,-0.07,9.17,28268
2460356.531469,0.99918,0.00248,1.1791,2.58,-0.89,8.10,32693
2460356.531574,1.00296,0.00249,1.1796,3.28,-0.78,8.91,28130
2460356.531679,0.99992,0.00248,1.1800,3.48,-0.69,9.35,28425
2460356.531785,0.99779,0.00247,1.1804,3.74,0.18,8.38,32709
2460356.531890,1.00309,0.00248,1.1808,4.17,-0.65,9.39,32800
2460356.531995,1.00995,0.00249,1.1813,1.51,-0.14,9.41,23541
2460356.532100,1.00173,0.00247,1.1817,-2.34,-0.51,8.63,30337
2460356.532205,1.00036,0.00248,1.1821,-4.91,0.19,8.33,32841
2460356.532311,1.00463,0.00249,1.1825,-6.87,-0.35,9.04,30135
2460356.532416,0.99835,0.00248,1.1830,-8.62,0.33,8.83,32334
2460356.532521,1.00396,0.00248,1.1834,-8.30,0.10,8.44,31232
2460356.532731,1.00002,0.00247,1.1843,0.28,-0.15,7.69,32569
2460356.532837,1.00034,0.00249,1.1847,-0.82,-0.18,8.24,33040
2460356.532942,1.00274,0.00248,1.1851,0.57,-0.45,9.09,39240
2460356.533047,1.00296,0.00248,1.1856,0.75,0.51,8.29,38512
2460356.533152,1.00005,0.00248,1.1860,1.28,0.65,8.30,34091
2460356.533257,1.00093,0.00248,1.1864,1.87,0.48,8.41,30927
2460356.533362,0.99963,0.00248,1.1869,3.10,0.21,9.13,28143
2460356.533467,1.00452,0.00250,1.1873,3.62,0.90,8.93,27211
2460356.533572,1.00205,0.00249,1.1877,4.27,1.05,8.20,29572
2460356.533678,1.00800,0.00250,1.1881,4.30,0.42,8.02,30478
2460356.533783,1.00324,0.00249,1.1886,4.92,1.40,8.08,33176
2460356.533888,0.99809,0.00250,1.1890,3.02,0.25,9.10,28535
2460356.533994,1.00698,0.00250,1.1895,-0.65,-0.55,8.22,29309
2460356.534099,1.00227,0.00249,1.1899,-2.85,-0.49,8.53,28769
2460356.534204,1.00636,0.00250,1.1904,-4.93,-0.35,8.65,30119
2460356.534309,1.00679,0.00251,1.1908,-7.80,-0.67,9.27,25688
2460356.534413,1.00151,0.00249,1.1912,-8.33,-0.42,8.24,31871
2460356.534623,1.00035,0.00250,1.1921,0.56,0.05,8.42,30673
2460356.534729,1.00472,0.00249,1.1925,1.60,0.22,8.35,33388
2460356.534834,1.00340,0.00249,1.1930,1.55,0.08,9.00,31288
2460356.534939,1.00072,0.00251,1.1935,1.16,0.21,9.52,27713
2460356.535045,1.00595,0.00250,1.1939,1.71,0.32,10.45,25619
2460356.535150,0.99895,0.00249,1.1944,0.86,0.91,8.89,30995
2460356.535255,1.00382,0.00249,1.1948,1.25,1.28,9.26,30255
2460356.535360,1.00602,0.00250,1.1953,1.57,-0.14,7.94,31005
2460356.535465,1.00115,0.00248,1.1957,2.81,1.43,7.54,36270
2460356.535571,1.00180,0.00249,1.1962,2.77,0.98,8.64,31502
2460356.535676,1.00385,0.00249,1.1966,3.58,1.56,9.13,35006
2460356.535781,0.99741,0.00250,1.1971,1.72,0.37,8.55,27660
2460356.535887,1.00211,0.00250,1.1975,0.75,-0.58,8.28,33622
2460356.535992,0.99886,0.00250,1.1980,-0.20,0.12,8.69,31025
2460356.536097,0.99665,0.00249,1.1984,-2.07,0.06,8.28,30704
2460356.536202,1.00399,0.00249,1.1988,-3.04,-0.01,8.36,28458
2460356.536307,1.00177,0.00249,1.1993,-4.58,0.43,8.27,32114
2460356.536412,1.00491,0.00251,1.1998,-1.94,-0.35,8.86,27498
2460356.536517,1.00573,0.00251,1.2002,1.30,-0.49,9.45,31069
2460356.536622,1.00001,0.00250,1.2006,2.57,-0.73,8.99,30240
2460356.536727,0.99652,0.00248,1.2011,2.74,-0.53,8.20,33726
2460356.536832,1.00058,0.00250,1.2016,2.90,-0.33,8.66,30109
2460356.536938,1.00113,0.00250,1.2021,3.56,0.15,9.03,30727
2460356.537042,1.00296,0.00250,1.2025,1.37,0.20,8.95,28567
2460356.537148,1.00314,0.00249,1.2029,0.22,-0.36,7.97,34201
2460356.537253,1.00109,0.00250,1.2034,0.88,-0.02,9.17,34333
2460356.537358,1.00257,0.00250,1.2039,1.94,1.05,8.55,31808
2460356.537463,1.00237,0.00250,1.2044,2.05,0.95,7.88,36941
2460356.537568,0.99699,0.00249,1.2048,2.02,0.88,8.29,32133
2460356.537674,1.00023,0.00250,1.2053,0.77,0.05,8.19,33447
2460356.537779,1.00083,0.00249,1.2057,0.92,-0.58,9.20,33090
2460356.537884,0.99796,0.00249,1.2062,0.06,0.24,8.47,32788
2460356.537989,0.99958,0.00250,1.2067,-1.05,-0.10,9.14,28840
2460356.538094,0.99635,0.00249,1.2071,-2.72,0.28,8.18,32216
2460356.538199,0.99675,0.00250,1.2076,-4.76,0.09,7.62,34130
2460356.538304,1.00211,0.00251,1.2081,-3.42,0.10,9.28,26269
2460356.538409,1.00368,0.00250,1.2086,-0.96,0.21,8.27,32392
2460356.538514,1.00287,0.00250,1.2090,0.47,0.98,9.06,31033
2460356.538619,0.99913,0.00250,1.2095,1.12,0.49,7.83,35319
2460356.538724,0.99907,0.00250,1.2099,1.19,0.87,8.49,30648
2460356.538829,1.00295,0.00252,1.2105,0.69,0.74,9.51,25223
2460356.538935,1.00575,0.00251,1.2109,0.12,0.34,8.76,29081
2460356.539040,1.00374,0.00251,1.2113,-0.42,-0.18,8.06,35646
2460356.539145,1.00154,0.00250,1.2118,-0.05,-0.50,9.42,35263
2460356.539250,0.99852,0.00250,1.2124,0.04,0.10,7.51,38799
2460356.539355,1.00394,0.00251,1.2128,0.19,0.22,8.68,29588
2460356.539460,1.00643,0.00250,1.2133,0.75,0.28,8.16,33865
2460356.539566,1.00085,0.00250,1.2137,0.76,0.72,8.79,32909
2460356.539671,1.00606,0.00251,1.2142,0.60,0.85,7.47,33457
2460356.539776,1.00178,0.00251,1.2147,1.17,0.70,7.27,35764
2460356.539881,1.00143,0.00251,1.2152,0.69,0.84,8.52,29396
2460356.539986,1.00020,0.00251,1.2157,-0.23,0.60,8.16,31046
2460356.540092,0.99856,0.00250,1.2161,-2.18,1.12,8.41,32078
2460356.540197,1.00676,0.00250,1.2167,-2.18,-0.09,7.34,32255
2460356.540302,0.99894,0.00251,1.2171,-1.52,-0.17,8.36,34155
