ariel_idx,muscat_idx,sep_arcsec,ariel_name,ariel_tic,ariel_ra,ariel_dec,muscat_name,muscat_id,muscat_ra,muscat_dec
1173,221,0.003999999574355023,TOI-5289,176279915,0.760104,-7.786416,TOI05289.01,1891,0.76026666666667,-7.7862361111111
83,378,0.007447649507288469,TOI-2043,346929661,0.977557,59.334681,TOI02043.01,545,0.97754166666667,59.334680555556
648,139,0.008397729335471593,TOI-6203,437756191,5.599869,24.866985,TOI06203.01,2203,5.5998791666667,24.867111111111
875,63,0.016262073207907863,TOI-6315,354742440,6.18687,58.468546,TOI06315.01,2249,6.1868458333333,58.468552777778
75,229,0.017593433549494837,TOI-7172,302173245,8.73548,17.056391,TOI07172.01,2850,8.7353458333333,17.056491666667
74,229,0.017593433549494837,TOI-6888,312543349,12.9724,57.364237,TOI06888.01,2659,12.972329166667,57.364277777778
74,228,0.017593433549494837,TOI-6241,15654898,17.082679,25.652576,TOI06241.01,2227,17.082791666667,25.652622222222
74,227,0.017593433549494837,TOI-4081,421973253,21.572736,64.840007,TOI04081.01,769,21.57275,64.840008333333
75,228,0.017593433549494837,TOI-3664,348437470,35.308494,59.711857,TOI03664.01,1761,35.308558333333,59.711819444444
75,227,0.017593433549494837,TOI-4548,21130820,36.34112,25.530678,TOI04548.01,851,36.341125,25.530677777778
793,424,0.019753800266315763,TOI-5365,21132157,36.519788,26.091793,TOI05365.01,1910,36.519720833333,26.091836111111
1124,75,0.02069755044183584,TOI-5330,436843539,40.451187,24.102318,TOI05330.01,1366,40.451166666667,24.102319444444
761,44,0.021958475662406753,TOI-5334,247409676,42.176259,20.809427,TOI05334.01,1903,42.176254166667,20.809430555556
1082,606,0.023802476564996206,TOI-4671,439873430,43.695622,-4.863004,TOI04671.01,1836,43.695404166667,-4.8630166666667
1775,602,0.023956513118497755,TOI-2688,98728690,44.173861,-15.055586,TOI02688.01,817,44.173875,-15.055586111111
1338,733,0.025278016367401165,TOI-3754,81593515,46.934208,62.39968,TOI03754.01,1775,46.93415,62.399697222222
1053,234,0.026612071748805068,TOI-4511,333674399,49.305279,15.501727,TOI04511.01,1820,49.3053625,15.50215
118,5,0.02819866305922753,TOI-4511,333674399,49.305279,15.501727,TOI04511.01,1820,49.3053625,15.50215
1329,748,0.03312233721962912,TOI-4511,333674399,49.305279,15.501727,TOI04511.02,1821,49.3053625,15.50215
1185,271,0.033221615742111466,TOI-4511,333674399,49.305279,15.501727,TOI04511.02,1821,49.3053625,15.50215
1749,736,0.033854991505696395,TOI-4664,299551666,54.66524,4.92143,TOI04664.01,1835,54.66525,4.921475
1123,161,0.034937542198153176,TOI-4543,435336785,55.140851,13.552772,TOI04543.01,1404,55.140833333333,13.552772222222
1101,560,0.03497925988894678,TOI-6057,104734832,64.056257,50.409606,TOI06057.01,2133,64.0562125,50.409694444444
1172,186,0.03498861644356013,TOI-3718,417942201,65.713648,41.125315,TOI03718.01,1769,65.713645833333,41.125316666667
1139,168,0.03576720649805991,TOI-5357,150006846,69.841243,27.288032,TOI05357.01,1909,69.841104166667,27.288133333333
721,641,0.03651144615688043,TOI-2457,117799904,70.167322,-12.890726,TOI-2457,811,70.167333333333,-12.890725
1,237,0.03823198621073539,TOI-4705,436637677,72.164943,12.95525,TOI04705.01,1842,72.165008333333,12.955269444444
1151,322,0.03844585186941211,TOI-2473,399868187,74.374979,10.416737,TIC399868187,285,74.374958333333,10.416736111111
197,152,0.03993432690034345,TOI-5333,96948338,74.457947,31.318666,TOI05333.01,1479,74.457958333333,31.318666666667
1721,723,0.040676166116925296,TOI-5342,356990855,76.431732,29.725539,TOI05342.01,1142,76.43175,29.725538888889
1764,585,0.04166935220454435,TOI-5364,366754985,77.00647,31.898377,TOI05364.01,1195,77.006458333333,31.898377777778
905,225,0.042166818383646144,TOI-5352,69995219,78.039675,28.546876,TOI05352.01,1908,78.039683333333,28.54685
1716,722,0.043315459448172354,TOI-5109,411930845,79.413022,17.714524,TOI05109.01,1373,79.413041666667,17.714525
1723,755,0.04369164977291243,TOI-2359,436102447,83.818664,6.587708,TOI02359.01,1689,83.818683333333,6.5877777777778
270,216,0.04640238430034809,TOI-2369,220068921,83.913807,4.82797,3UC190-026030,223,83.91375,4.8281194444444
259,83,0.048671627201256215,TOI-5455,75171363,84.852114,28.62691,TOI05455.01,1480,84.852125,28.626911111111
1218,418,0.05041948164673893,TOI-5422,80611440,86.843617,25.626034,TOI05422.01,1923,86.843579166667,25.626036111111
