muscat_object,instruments,n_frames,ariel_name,period_d,depth_ppm,age,rotation_period,tess_mag,sep_arcsec
WASP-158b,muscat3,3296,WASP-158b,3.6563304,0.63,1.93,,11.7083,0.024978623007309436
EPIC5350,muscat,980,K2-19c,11.8978,0.167324692,1.7,18.36,12.3049,0.2881353966942596
EPIC5350,muscat,980,K2-19b,7.920922,0.482689008,1.7,18.36,12.3049,0.2881353966942596
KELT-9b,"muscat, muscat3, sinistro",11452,KELT-9b,1.48111897,0.677,0.3,,7.58204,0.5465842363737246
HD110067,muscat3,3594,HD110067b,9.113678,0.065513615,8.1,,7.6621,1.1792107049753844
HD110067,muscat3,3594,HD110067d,20.519617,0.110099479,8.1,,7.6621,1.1792107049753844
HD110067,muscat3,3594,HD110067c,13.673694,0.077188902,8.1,,7.6621,1.1792107049753844
HD110067,muscat3,3594,HD110067f,41.05854,0.091572891,8.1,,7.6621,1.1792107049753844
TOI-1266,"muscat3, sinistro",9820,TOI-1266c,18.801682,0.205,4.6,44.6,11.0402,1.9167361655901503
TOI-1266,"muscat3, sinistro",9820,TOI-1266b,10.8945,0.29802206,4.6,44.6,11.0402,1.9167361655901503
HAT-P-49,muscat,1698,HAT-P-49b,2.69155608,0.55180785,1.5,,9.93225,2.156773241209418
K2-33,muscat3,1847,K2-33b,5.42526,0.193650943,0.0093,6.29,12.9895,4.286206742027898
TIC 389900760.01 (TOI 2120.01),muscat3,1366,TOI-2120b,5.7998164,0.630517658,,,12.8233,5.820357339171711
TOI1883,sinistro,362,TOI-1883b,4.50638,1.099465607,,,13.3462,6.669578547319482
WTS-2,muscat3,7129,WTS-2b,1.0187068,3.469180664,7.0,,14.956,6.920142050119576
TOI1410,"muscat, muscat3",6795,TOI-1410.01,1.21687,0.141475362,6.6,,10.1917,8.40447017939971
TOI3629,muscat,539,TOI-3629b,3.9365539,1.606319107,7.0,,12.7882,9.559061776830157
GJ9827,muscat3,4427,GJ9827d,6.201819,0.0957,5.465,28.16,9.0684,9.986664017528154
GJ9827,muscat3,4427,GJ9827c,3.6481195,0.0361,5.465,28.16,9.0684,9.986664017528154
GJ9827,muscat3,4427,GJ9827b,1.20897446,0.0586,5.465,28.16,9.0684,9.986664017528154
TOI 1410,muscat3,2556,TOI-1410.01,1.21687,0.141475362,6.6,,10.1917,10.846620105877493
TOI732,muscat3,137,LTT3780b,0.768448,0.104973446,3.1,104.0,10.5848,10.99940265132858
TOI732,muscat3,137,LTT3780c,12.252247,0.3355,3.1,104.0,10.5848,10.99940265132858
TIC 181804752.02 (TOI 736.02),muscat3,358,LP791-18b,0.948005,0.360562865,0.5,,13.5571,11.201595967561328
TIC 181804752.02 (TOI 736.02),muscat3,358,LP791-18c,4.9899163,1.570712281,0.5,,13.5571,11.201595967561328
TIC 181804752.02 (TOI 736.02),muscat3,358,LP791-18d,2.753436,0.270243493,0.5,,13.5571,11.201595967561328
K2-25,"muscat, muscat2, muscat3, sinistro",4214,K2-25b,3.48456287,1.155,0.73,1.878,13.0275,11.763377558643699
SP3,muscat3,1456,SPECULOOS-3b,0.71912603,0.5291,6.6,,13.7314,11.811636840371909
TOI519,"muscat, muscat2, muscat3",3265,TOI-519b,1.26523248,9.250860552,0.55,,14.4347,12.145548157039928
TOI-2136,sinistro,406,TOI-2136b,7.851949,0.343769318,4.6,82.56,11.7371,12.154770265558186
Kepler-51,"muscat3, sinistro",998,Kepler-51d,130.1845,0.96910112,0.5,8.222,14.2045,12.239519302349962
Kepler-51,"muscat3, sinistro",998,Kepler-51b,45.1542,0.514073569,0.5,8.222,14.2045,12.239519302349962
KEY2020B-005,muscat3,589,TOI-1883b,4.50638,1.099465607,,,13.3462,13.878494533530866
55CNC,muscat,2848,55Cnce,0.73654635,0.041,,39.0,5.2058,15.472404032793628
HD332231,muscat,411,HD332231b,18.71175,0.4867,4.3,,8.0417,15.622110898094357
TOI-1410,muscat3,27186,TOI-1410.01,1.21687,0.141475362,6.6,,10.1917,15.90101170776741
TOI-1634,muscat3,2494,TOI-1634b,0.989343,0.1323,,77.0,11.0136,16.436392573539482
TIC 212957629.01 (TOI 2406.01),muscat3,560,TOI-2406b,3.0766896,1.745713451,,,14.3109,16.85122749971603
TOI-6109,"muscat3, sinistro",9631,TOI-6109b,5.690476,0.191256593,0.075,3.02,10.3622,24.341047715695606
TOI-6109,"muscat3, sinistro",9631,TOI-6109c,8.538878,0.188299369,0.075,3.02,10.3622,24.341047715695606
55Cnc,muscat,37314,55Cnce,0.73654635,0.041,,39.0,5.2058,31.045212475039495
55CnC,muscat,3168,55Cnce,0.73654635,0.041,,39.0,5.2058,32.11964757613577
TOI1696,muscat,495,TOI-1696b,2.50031,1.071185981,7.1,,13.9664,33.52353842928166
KELT-9,"muscat, muscat2, sinistro",19973,KELT-9b,1.48111897,0.677,0.3,,7.58204,37.04597037871038
HAT23,muscat,1371,HAT-P-23b,1.212886386,1.0536,4.0,,11.734,37.740896155319945
HAT49,muscat,3772,HAT-P-49b,2.69155608,0.55180785,1.5,,9.93225,40.84148998852287
wasp12,muscat,740,WASP-12b,1.091418859,1.389,3.05,,11.0967,45.539719120001344
TOI01693.01,"muscat, muscat2",9087,TOI-1693b,1.7666957,0.078969829,,,10.6714,46.14364112522823
TOI-663,"muscat3, sinistro",13766,TOI-663b,2.598902,0.165215359,,30.0,11.7602,47.472040870548284
TOI-663,"muscat3, sinistro",13766,TOI-663c,4.6955507,0.163762926,,30.0,11.7602,47.472040870548284
TOI519.01,muscat,430,TOI-519b,1.26523248,9.250860552,0.55,,14.4347,49.151140027219164
KELT-9_diffuser,muscat,1143,KELT-9b,1.48111897,0.677,0.3,,7.58204,53.44891599855252
TOI-736,"muscat3, muscat4, sinistro",9909,LP791-18b,0.948005,0.360562865,0.5,,13.5571,54.652202831944145
TOI-736,"muscat3, muscat4, sinistro",9909,LP791-18d,2.753436,0.270243493,0.5,,13.5571,54.652202831944145
TOI-736,"muscat3, muscat4, sinistro",9909,LP791-18c,4.9899163,1.570712281,0.5,,13.5571,54.652202831944145
TOI3757,muscat,1987,TOI-3757b,3.438753,3.148601947,7.1,,13.1858,56.89034992019737
TOI4201,muscat,753,TOI-4201b,3.5819194,3.960130057,1.4,17.3,13.5011,57.0331841553041
WASP-12b_SE,muscat,3813,WASP-12b,1.091418859,1.389,3.05,,11.0967,57.125605084554635
WASP-32b,muscat,201,KELT-9b,1.48111897,0.677,0.3,,7.58204,58.53624572420872
KELT-9_nofilter,muscat,928,KELT-9b,1.48111897,0.677,0.3,,7.58204,61.341462530474814
EPIC26032,muscat,120,K2-237b,2.18053404,1.416,1.09,5.07,11.0657,69.6987571477602
EPIC67459,muscat,915,K2-238b,3.2046898,0.70593277,5.63,,13.1749,69.74902327446888
EPIC74928,muscat,4390,K2-405b,3.435497,0.299818268,,,11.9783,70.18252367882762
TOI-654,muscat3,2742,TOI-654.01,1.527561,0.257054643,,,12.2255,71.18123468369043
XO-2N,muscat3,20778,XO-2Nb,2.61585974,1.104869384,6.5,28.6,10.4467,71.20171271854953
TOI01450.01,muscat2,3591,TOI-1450Ab,2.0439274,0.0460046,,35.0,10.0306,72.79411690995148
WASP104,muscat,8198,WASP-104b,1.75540577,1.474,3.0,,11.0658,72.9328490259746
TOI-2120,muscat3,1428,TOI-2120b,5.7998164,0.630517658,,,12.8233,73.59245466139001
TOI02445.01,"muscat, muscat2",2597,TOI-2445b,0.3711281,0.180148695,,,13.1292,73.77296524861114
WASP12,muscat,10972,WASP-12b,1.091418859,1.389,3.05,,11.0967,77.90774350079586
WASP-176,muscat,150,WASP-176b,3.8990588,0.64,4.81,,11.5352,79.04371096309309
TOI1835,muscat,674,HD110067c,13.673694,0.077188902,8.1,,7.6621,80.1847035602533
TOI1835,muscat,674,HD110067d,20.519617,0.110099479,8.1,,7.6621,80.1847035602533
TOI1835,muscat,674,HD110067f,41.05854,0.091572891,8.1,,7.6621,80.1847035602533
TOI1835,muscat,674,HD110067b,9.113678,0.065513615,8.1,,7.6621,80.1847035602533
TOI-2109 b,muscat3,5036,TOI-2109b,0.67247371,0.6651,1.77,,9.78569,80.41376755128148
TOI-5205b,muscat,4124,TOI-5205b,1.630757,7.216936639,,,13.6136,82.76199129488391
TOI1266,muscat,3185,TOI-1266b,10.8945,0.29802206,4.6,44.6,11.0402,82.76475522187881
TOI1266,muscat,3185,TOI-1266c,18.801682,0.205,4.6,44.6,11.0402,82.76475522187881
TOI1811.01,muscat,2096,TOI-1811b,3.7130671,1.761,5.9,,11.1237,83.14887537555587
TOI-560,"muscat3, muscat4, sinistro",31451,HD73583b,6.398058,0.1446,0.78,12.0,8.5925,85.55932554051464
TOI736,"muscat, muscat2, muscat3",8751,LP791-18b,0.948005,0.360562865,0.5,,13.5571,86.35929948365403
TOI736,"muscat, muscat2, muscat3",8751,LP791-18d,2.753436,0.270243493,0.5,,13.5571,86.35929948365403
TOI736,"muscat, muscat2, muscat3",8751,LP791-18c,4.9899163,1.570712281,0.5,,13.5571,86.35929948365403
K2-22b,"muscat, muscat2",5872,K2-22b,0.381078,0.560688796,,,13.9558,88.02447568073424
WASP-84b,muscat,1558,WASP-84b,8.52349598,1.723,8.5,14.36,10.0471,90.88304819930511
TOI04599.01,muscat,618,HD260655b,2.7694913,0.067058366,5.0,37.5,7.89863,91.72059170170495
TOI04599.01,muscat,618,HD260655c,5.7060824,0.102492924,5.0,37.5,7.89863,91.72059170170495
WASP48,muscat,1483,WASP-48b,2.14363676,0.96,7.9,,11.1541,93.46838198252821
WASP103,muscat,1667,WASP-103b,0.92554545,1.195,4.0,,11.7586,96.60396489146567
KELT16,muscat,3731,KELT-16b,0.968992961,1.146,3.1,,11.4373,98.47467209449381
HAT-P-21,muscat,1497,HAT-P-21b,4.12448935,0.7341,10.2,15.88,11.1065,101.10143323439881
TOI663.02,muscat,557,TOI-663c,4.6955507,0.163762926,,30.0,11.7602,101.56273470874302
TOI663.02,muscat,557,TOI-663b,2.598902,0.165215359,,30.0,11.7602,101.56273470874302
TOI01685.01,"muscat, muscat2",10355,TOI-1685b,0.6691416,0.100347433,1.3,18.66,11.1117,104.98039403780346
TOI1201,sinistro,114,TOI-1201b,2.4919715,0.189952708,,21.0,10.9473,107.59174794435489
WASP-44,muscat,860,WASP-44b,2.42381135,1.56,10.3,,12.3993,108.93653104586939
WASP-48,muscat,3216,WASP-48b,2.14363676,0.96,7.9,,11.1541,110.34897300831673
TOI01453.01,muscat2,8156,TOI-1453c,6.5886982,0.080194246,12.0,,10.1426,110.60034119545142
TOI03919,muscat,2012,TOI-3919b,7.433234,0.695,3.1,,12.3342,110.88590206753084
HAT-P-45,muscat,431,HAT-P-45b,3.12899458,1.228246157,2.0,,11.6961,112.11984490829121
HATP20,muscat,1021,HAT-P-20b,2.875317895,2.149811981,6.7,14.48,10.2832,113.85593462817786
TOI1453,muscat,2560,TOI-1453c,6.5886982,0.080194246,12.0,,10.1426,114.91590628087658
WASP12SE,muscat,5645,WASP-12b,1.091418859,1.389,3.05,,11.0967,118.54764346040717
TIC98831b,muscat,1686,TIC434398831b,3.685504,0.125321359,0.061,1.75,11.311,119.78009677037382
TIC98831b,muscat,1686,TIC434398831c,6.210291,0.322424224,0.061,1.75,11.311,119.78009677037382
WASP75,muscat,936,WASP-75b,2.48419766,1.07,3.5,,10.931,120.26049785688787
