Host	TOI	URL	Cluster/	Age	Age_median	Age-dating method	exofop url	Discovery Ref.	Nplanets	multi?	Mass ref.	spec inst	Nplanet with mass	Atm ref.	TTV ref	Obliq. ref	RM/DT instrument	exofop_url_json	RA	DEC	TESS	Host Teff	Host radius	Host radius err	Host mass	Vsini	amenable for RM	distance	sectors	Kepler/K2 era?	Prot	LiEW	logR'_HK	B-V	Is Tmag<13?	Is in South?	Is <100 pc?	South & <100pc?
https://docs.google.com/spreadsheets/d/1rnYjxNyVPB3ncUCz0V1INXnD2Sw8gOlXKv9BGX6ky9k/edit#gid=1292369852	See also https://vizier.cds.unistra.fr/viz-bin/VizieR-4		Assoc.	[Myr]															deg	deg	mag	[K]	[$R_\odot$]	[$R_\odot$]	[$M_\odot$]	[km/s]	[Vsini<10km/s?]	pc			d	mA		mag				
IRAS04125+2902	TOI-6963	https://exoplanetarchive.ipac.caltech.edu/overview/IRAS04125+2902	B209N in Taurus–Auriga SFR	1-15	8	disk	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-6963	Barber+2024	1	0					in prep			https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-6963&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
								Luhman+2025																Loading...														
K2-33		https://exoplanetarchive.ipac.caltech.edu/overview/K2-33	USco M.G.	5-10	7.5	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=K2-33	David+2016	1	0	c.f. Klein			Thao+2022		Hirano+2024	Subaru/IRD	https://exofop.ipac.caltech.edu/tess/target.php?id=K2-33&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	1					Loading...	Loading...	Loading...	Loading...
								Mann+2016						Kubyshkina+2018						Loading...	Loading...		Loading...	Loading...	Loading...			Loading...	Loading...									
TOI-1227	TOI-1227	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1227	Musca, hsc2523	9-13	11	cluster, Li, Prot, CMD	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1227	Mann+2022	1	0					Almenara+2024			https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1227&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
				5-12	8.5	X-ray, Li and H α		Varga+2025																														
HD114082	TOI-6697	https://exoplanetarchive.ipac.caltech.edu/overview/HD114082	field?	9-21	15	debris disk	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-6697	Zakhozhay+2022	2	1	Zakhozhay+2022		1					https://exofop.ipac.caltech.edu/tess/target.php?id=HD114082&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
HIP67522	TOI-6551	https://exoplanetarchive.ipac.caltech.edu/overview/HIP67522	Sco-Cen OB; ν Cen	15-19	17	debris disk	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-6551	Rizutto+2020	2	1	Thao+2024			Thao+2024	Lopez Murillo in prep	Heitzmann+2021		https://exofop.ipac.caltech.edu/tess/target.php?id=HIP67522&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
								Barber+2024						Maggio+2024						Loading...		Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
