,BJD_TDB,Flux,Err
0,2459588.82186,1.01048,0.00252
1,2459588.823308,1.01301,0.00253
2,2459588.824757,1.00686,0.00251
3,2459588.826205,1.00676,0.00251
4,2459588.827654,1.00347,0.00254
5,2459588.829102,1.00722,0.00256
8,2459588.833439,1.0084,0.00251
9,2459588.834888,1.00045,0.00248
10,2459588.836336,0.99964,0.00248
11,2459588.837785,0.99643,0.00248
12,2459588.839233,1.00102,0.0025
13,2459588.840681,0.99687,0.00247
14,2459588.84213,0.99431,0.00251
15,2459588.843578,0.99219,0.0025
16,2459588.845025,0.99226,0.00248
17,2459588.846474,0.99293,0.00248
18,2459588.847922,0.99573,0.0025
19,2459588.849371,0.99576,0.00252
20,2459588.850819,0.99813,0.00251
21,2459588.852268,0.99316,0.0025
22,2459588.853716,0.99723,0.0025
23,2459588.855164,0.99084,0.00255
24,2459588.856613,0.99324,0.00258
25,2459588.858061,1.0045,0.00257
26,2459588.859509,0.99851,0.00259
27,2459588.860957,0.99181,0.00252
28,2459588.862406,0.9965,0.0025
29,2459588.863855,0.99635,0.00251
30,2459588.865296,0.99487,0.00248
31,2459588.866744,0.99848,0.00249
32,2459588.868193,0.99468,0.0025
33,2459588.869641,0.99283,0.00248
34,2459588.87109,0.99431,0.00247
35,2459588.872537,0.99847,0.00247
36,2459588.873986,0.99659,0.00247
37,2459588.875434,0.98922,0.00247
38,2459588.876875,0.98515,0.00247
39,2459588.878331,0.9858,0.00249
40,2459588.879773,0.98447,0.00249
41,2459588.881221,0.9856,0.0025
42,2459588.882669,0.98511,0.0025
43,2459588.884117,0.98981,0.00257
44,2459588.885566,0.98554,0.00255
45,2459588.887014,0.98327,0.00251
46,2459588.888463,0.98235,0.00254
47,2459588.889904,0.98574,0.0025
48,2459588.891353,0.98584,0.00251
49,2459588.892801,0.99129,0.00253
50,2459588.89425,0.98731,0.0025
51,2459588.895698,0.99035,0.00252
52,2459588.898595,0.98828,0.00259
53,2459588.900043,0.99306,0.00255
54,2459588.901491,0.99543,0.00253
55,2459588.902939,1.00341,0.00254
56,2459588.904387,0.99569,0.00252
57,2459588.905835,1.00025,0.00249
58,2459588.907284,1.00482,0.0025
59,2459588.908732,0.99529,0.0025
60,2459588.910174,1.00062,0.00252
61,2459588.911622,0.99557,0.00252
62,2459588.91307,0.99914,0.00253
63,2459588.914519,0.99866,0.00255
64,2459588.915966,1.0043,0.00254
65,2459588.917414,1.00054,0.00249
68,2459588.92176,1.00658,0.00247
69,2459588.923208,1.0051,0.00242
70,2459588.92465,1.0079,0.0024
71,2459588.926098,1.00862,0.00241
72,2459588.927547,1.00376,0.00239
73,2459588.928995,1.00693,0.00237
74,2459588.930442,1.00387,0.00237
75,2459588.931919,1.00316,0.00237
76,2459588.933367,1.00404,0.00236
77,2459588.934816,1.00055,0.00236
78,2459588.936265,1.00726,0.00236
79,2459588.937713,1.00358,0.00235
80,2459588.939162,1.00627,0.00236
81,2459588.940603,1.00617,0.00236
82,2459588.942059,1.00465,0.00239
83,2459588.9435,1.00223,0.00244
84,2459588.944948,1.00243,0.00238
85,2459588.946396,1.00003,0.00238
86,2459588.947845,1.00432,0.00242
87,2459588.949294,1.00264,0.00241
88,2459588.950742,1.0084,0.00242
89,2459588.95219,1.00395,0.00238
90,2459588.953632,1.00512,0.00237
91,2459588.95508,1.00222,0.00238
92,2459588.956529,0.99751,0.00239
93,2459588.957976,1.0036,0.0024
94,2459588.959467,0.99994,0.0024
95,2459588.960915,1.0,0.00238
96,2459588.962364,1.00303,0.00243
97,2459588.963812,1.0092,0.00248
98,2459588.965261,1.0066,0.00243
