,BJD_TDB,Flux,Err
0,2459588.819059,1.0,0.00185
1,2459588.819384,0.99978,0.00184
2,2459588.819709,1.00012,0.00184
3,2459588.820046,0.99707,0.00183
4,2459588.82037,1.00006,0.00183
5,2459588.820695,0.99841,0.00183
6,2459588.82102,0.99749,0.00182
7,2459588.821681,0.99912,0.00183
8,2459588.822006,0.99809,0.00183
9,2459588.822343,1.00087,0.00184
10,2459588.822668,1.00066,0.00182
11,2459588.822993,0.99928,0.00182
12,2459588.823318,0.99808,0.00182
13,2459588.823654,0.99567,0.00183
14,2459588.823979,1.00114,0.00184
15,2459588.824304,1.00025,0.00183
16,2459588.82464,0.99695,0.00182
17,2459588.824965,0.99938,0.00182
18,2459588.82529,0.99766,0.00182
19,2459588.825615,1.00005,0.00183
20,2459588.825951,0.99922,0.00183
21,2459588.826276,1.0009,0.00183
22,2459588.826601,1.00179,0.00183
23,2459588.826938,1.00021,0.00184
24,2459588.827286,1.00243,0.00184
25,2459588.827622,0.99449,0.00184
26,2459588.827947,0.99837,0.00185
27,2459588.828272,0.99606,0.00183
28,2459588.828597,0.99728,0.00185
29,2459588.828933,0.9992,0.00184
30,2459588.829258,0.99823,0.00185
31,2459588.829583,1.0004,0.00183
32,2459588.829908,0.99347,0.00182
33,2459588.830243,0.99768,0.00182
34,2459588.830568,1.0003,0.00181
35,2459588.830893,0.99904,0.00182
36,2459588.83123,1.00069,0.00182
37,2459588.831555,0.99859,0.00181
38,2459588.832541,1.00097,0.00181
39,2459588.832866,0.99806,0.00181
40,2459588.833191,1.0004,0.00182
41,2459588.833527,0.9984,0.00181
42,2459588.834177,0.99907,0.00181
43,2459588.835488,0.99718,0.00181
44,2459588.836811,0.99612,0.0018
45,2459588.83847,0.99934,0.00181
46,2459588.838806,0.99924,0.00181
47,2459588.839131,0.99839,0.00181
48,2459588.839456,0.99822,0.00181
49,2459588.839793,0.9965,0.00181
50,2459588.840767,0.99646,0.00181
51,2459588.84209,0.99729,0.00182
52,2459588.842415,0.99666,0.00183
53,2459588.843065,1.00208,0.00183
54,2459588.843401,0.99624,0.00182
55,2459588.843726,0.99905,0.00182
56,2459588.844051,0.99586,0.00183
57,2459588.844375,0.99644,0.00181
58,2459588.845698,0.9943,0.00181
59,2459588.846347,0.99964,0.00182
60,2459588.846684,0.99697,0.00181
61,2459588.847009,0.99487,0.00181
62,2459588.847995,0.99502,0.00182
63,2459588.84832,0.99852,0.00182
64,2459588.848645,0.9975,0.00181
65,2459588.848981,0.99759,0.00182
66,2459588.849306,0.99956,0.00184
67,2459588.850292,0.99448,0.00182
68,2459588.851279,0.99651,0.00184
69,2459588.851603,0.9983,0.00183
70,2459588.851928,1.0015,0.00183
71,2459588.85259,0.99957,0.00183
72,2459588.853576,0.99929,0.00182
73,2459588.853901,1.00073,0.00184
74,2459588.854226,0.99936,0.00184
75,2459588.854597,0.99576,0.00184
76,2459588.854933,0.9966,0.00186
77,2459588.855258,0.99744,0.00184
78,2459588.855583,0.99887,0.00184
79,2459588.85592,0.99518,0.00186
80,2459588.856244,0.99785,0.00185
81,2459588.856581,0.99565,0.00185
82,2459588.857231,0.99764,0.00185
83,2459588.857556,0.99394,0.00186
84,2459588.857892,1.00185,0.00186
85,2459588.858216,0.99933,0.00185
86,2459588.858541,0.99934,0.00186
87,2459588.858877,0.99882,0.00186
89,2459588.859562,0.99746,0.00184
90,2459588.859887,0.99853,0.00184
91,2459588.860212,0.99896,0.00184
92,2459588.860548,0.99792,0.00183
93,2459588.860873,0.99382,0.00182
94,2459588.861198,0.9968,0.00182
95,2459588.861859,0.99813,0.00181
96,2459588.862184,0.99722,0.00183
97,2459588.862846,0.99868,0.00182
98,2459588.863171,0.9978,0.00183
99,2459588.863495,0.99997,0.00183
100,2459588.863832,0.99681,0.00183
101,2459588.865143,0.99653,0.00181
102,2459588.865468,0.99897,0.00182
103,2459588.866454,0.99748,0.00182
104,2459588.867765,0.99881,0.00181
105,2459588.86809,1.00267,0.00182
106,2459588.868415,1.00005,0.00183
107,2459588.869076,0.99743,0.00182
108,2459588.869761,0.99827,0.00181
109,2459588.870098,0.99988,0.00182
110,2459588.871084,0.99777,0.00181
111,2459588.871409,0.99496,0.00181
112,2459588.872429,0.99756,0.00181
113,2459588.874726,0.99774,0.00181
114,2459588.875712,0.99204,0.0018
115,2459588.877685,0.98916,0.00181
116,2459588.87801,0.98889,0.00182
117,2459588.878335,0.98727,0.00182
118,2459588.878671,0.98818,0.00181
119,2459588.878996,0.98707,0.00182
120,2459588.879321,0.98946,0.00181
121,2459588.879646,0.98986,0.00182
122,2459588.879982,0.98817,0.00181
123,2459588.880307,0.98855,0.00183
124,2459588.880632,0.98654,0.00182
125,2459588.880969,0.98877,0.00183
126,2459588.881293,0.98937,0.00182
127,2459588.881618,0.98741,0.00181
128,2459588.881955,0.98757,0.00181
129,2459588.882279,0.9889,0.00182
130,2459588.882604,0.98733,0.00182
131,2459588.882929,0.98988,0.00182
132,2459588.883266,0.98659,0.00183
133,2459588.883591,0.99029,0.00185
134,2459588.883915,0.98634,0.00185
135,2459588.88424,0.98446,0.00185
136,2459588.884577,0.99017,0.00186
137,2459588.884902,0.98879,0.00185
138,2459588.885227,0.98917,0.00185
139,2459588.885563,0.98557,0.00185
140,2459588.885888,0.98818,0.00187
141,2459588.886213,0.98574,0.00185
142,2459588.886549,0.98733,0.00184
143,2459588.886873,0.99003,0.00184
144,2459588.887198,0.98456,0.00182
145,2459588.887522,0.98757,0.00185
146,2459588.887858,0.98828,0.00185
147,2459588.888183,0.98838,0.00186
148,2459588.888507,0.98905,0.00185
149,2459588.888844,0.98801,0.00184
150,2459588.889168,0.98863,0.00184
151,2459588.889493,0.98721,0.00183
152,2459588.889817,0.98603,0.00183
153,2459588.890153,0.9882,0.00185
154,2459588.890478,0.98699,0.00184
155,2459588.890802,0.98739,0.00184
156,2459588.891139,0.98832,0.00184
157,2459588.891463,0.98544,0.00183
158,2459588.891788,0.98782,0.00184
159,2459588.892124,0.98624,0.00185
160,2459588.892448,0.98693,0.00185
161,2459588.893097,0.98973,0.00184
162,2459588.893758,0.99099,0.00184
163,2459588.894083,0.98868,0.00184
164,2459588.894743,0.98955,0.00184
165,2459588.895068,0.98773,0.00184
166,2459588.895392,0.98837,0.00184
167,2459588.895729,0.98936,0.00184
168,2459588.896053,0.98867,0.00185
169,2459588.896378,0.98812,0.00186
170,2459588.896714,0.99234,0.00187
171,2459588.897073,0.98882,0.00188
172,2459588.897398,0.99286,0.00189
173,2459588.897769,0.99058,0.00188
174,2459588.898094,0.99103,0.00188
175,2459588.89843,0.98979,0.00187
176,2459588.898755,0.99162,0.00188
177,2459588.89908,0.99017,0.00187
178,2459588.899405,0.99007,0.00187
179,2459588.899742,0.99172,0.00187
180,2459588.900067,0.98923,0.00186
181,2459588.900403,0.99304,0.00186
182,2459588.900728,0.99611,0.00185
183,2459588.901052,0.99695,0.00186
184,2459588.901377,0.9976,0.00186
185,2459588.901713,0.99549,0.00186
186,2459588.902038,0.99722,0.00186
187,2459588.902363,0.99949,0.00186
188,2459588.902688,1.0012,0.00186
189,2459588.903024,0.99957,0.00186
190,2459588.903349,0.99996,0.00187
191,2459588.903674,1.00073,0.00188
192,2459588.90401,1.00211,0.00187
193,2459588.904335,1.00153,0.00187
194,2459588.90466,1.00097,0.00186
195,2459588.904997,1.00286,0.00185
196,2459588.905321,1.00191,0.00185
197,2459588.905971,1.00234,0.00185
198,2459588.906632,0.9988,0.00185
199,2459588.906957,1.00101,0.00185
200,2459588.907294,1.00307,0.00185
201,2459588.907619,1.00397,0.00185
202,2459588.907944,1.00386,0.00186
203,2459588.908268,1.00219,0.00186
204,2459588.908605,1.00095,0.00187
205,2459588.90893,1.00036,0.00185
206,2459588.909255,1.003,0.00188
207,2459588.909591,1.00328,0.00188
208,2459588.909916,0.99923,0.00188
209,2459588.910577,1.00092,0.00187
210,2459588.910902,1.00186,0.00187
211,2459588.911227,1.00256,0.00189
212,2459588.911552,1.00432,0.00189
213,2459588.911889,1.00379,0.00187
214,2459588.912214,1.00066,0.00186
215,2459588.912538,1.00245,0.00189
216,2459588.912875,1.0016,0.00187
217,2459588.9132,1.00353,0.00187
218,2459588.913525,1.00244,0.00189
219,2459588.913849,1.00254,0.0019
220,2459588.914186,1.00354,0.00189
221,2459588.914511,1.00521,0.00189
222,2459588.914836,1.00584,0.00191
223,2459588.91516,1.00004,0.0019
224,2459588.915496,1.0046,0.0019
225,2459588.915832,0.99967,0.00189
226,2459588.916157,1.00032,0.00189
227,2459588.916482,1.00299,0.00188
228,2459588.916807,1.00108,0.00189
229,2459588.917144,1.00346,0.00189
230,2459588.917468,1.00109,0.00188
231,2459588.917793,1.00352,0.00187
232,2459588.918118,1.00367,0.00188
233,2459588.918455,1.00543,0.00189
234,2459588.91878,1.00381,0.0019
235,2459588.919104,1.00681,0.00189
236,2459588.919441,1.00436,0.00189
237,2459588.919766,1.00338,0.00188
238,2459588.920091,1.00286,0.00189
239,2459588.920416,1.00401,0.00187
240,2459588.920752,1.00577,0.00189
241,2459588.921077,1.00425,0.0019
242,2459588.921402,1.00426,0.00187
243,2459588.921727,1.00396,0.00186
244,2459588.923374,1.0058,0.00186
245,2459588.923699,1.00185,0.00187
246,2459588.924035,1.00501,0.00187
247,2459588.924685,1.00348,0.00185
248,2459588.92501,1.00424,0.00186
249,2459588.925671,1.00612,0.00186
250,2459588.925996,1.00024,0.00186
251,2459588.926321,1.00063,0.00186
252,2459588.926983,1.00262,0.00187
253,2459588.927307,1.00331,0.00187
254,2459588.928294,1.00446,0.00186
255,2459588.930915,1.00463,0.00188
256,2459588.931577,1.00344,0.00187
257,2459588.932226,1.00315,0.00187
258,2459588.932563,1.00151,0.00187
259,2459588.933874,1.00282,0.00187
260,2459588.934199,1.00114,0.00187
261,2459588.93486,1.00521,0.00188
262,2459588.93551,1.00281,0.00187
263,2459588.936218,1.0039,0.00187
264,2459588.936543,1.00273,0.00187
265,2459588.936867,1.00449,0.00188
266,2459588.937204,1.00335,0.00188
267,2459588.937854,1.00588,0.00188
268,2459588.938515,1.00485,0.00188
269,2459588.93884,1.0046,0.00188
270,2459588.939165,1.00448,0.00188
271,2459588.940151,1.0042,0.00189
272,2459588.940476,1.00266,0.00189
273,2459588.941149,1.00547,0.00189
274,2459588.941474,1.00471,0.00189
275,2459588.941798,1.00327,0.00189
276,2459588.942459,1.00464,0.00192
277,2459588.942784,1.00271,0.00192
278,2459588.943108,1.00035,0.00194
279,2459588.943444,1.00401,0.00192
280,2459588.943768,1.00401,0.00192
281,2459588.944092,1.00449,0.00191
282,2459588.944753,1.0073,0.00189
283,2459588.945078,1.00183,0.00189
284,2459588.945402,1.00158,0.0019
285,2459588.945738,1.00308,0.0019
286,2459588.946063,1.00552,0.00191
287,2459588.946387,1.00411,0.00189
288,2459588.946724,1.00454,0.00191
289,2459588.947048,1.00654,0.00192
290,2459588.947373,1.00177,0.00192
291,2459588.947709,1.00026,0.00191
292,2459588.948033,1.00558,0.00193
293,2459588.948358,1.00505,0.00192
294,2459588.948694,1.00065,0.00191
295,2459588.949018,1.00216,0.00192
296,2459588.949343,1.00329,0.00192
297,2459588.949668,1.00432,0.00192
298,2459588.950004,1.00617,0.00192
299,2459588.950328,1.00816,0.00193
300,2459588.950653,1.00721,0.00193
301,2459588.950989,1.00373,0.00191
302,2459588.951313,1.00392,0.00192
303,2459588.951638,1.00553,0.00192
304,2459588.951974,1.00516,0.00191
305,2459588.952623,1.00332,0.00189
306,2459588.953946,1.00742,0.00191
307,2459588.954921,1.00204,0.00191
308,2459588.955257,1.00416,0.00192
309,2459588.955582,1.0007,0.00191
310,2459588.956232,1.00372,0.00192
311,2459588.956893,1.00273,0.00191
312,2459588.957218,1.00327,0.00191
313,2459588.957555,1.00554,0.00192
314,2459588.957879,1.00374,0.00192
315,2459588.958204,1.00034,0.00192
316,2459588.95854,1.00505,0.00192
317,2459588.9589,1.0047,0.00192
318,2459588.959225,1.00423,0.00192
319,2459588.959886,1.00273,0.00191
320,2459588.960536,1.00285,0.00192
321,2459588.960872,1.00657,0.00193
322,2459588.961197,1.00673,0.00193
323,2459588.961522,1.00563,0.00193
324,2459588.961858,1.00761,0.00194
325,2459588.962183,1.00506,0.00194
