,BJD_TDB,Flux,Err
0,2459588.819202,1.00534,0.00198
1,2459588.819844,1.00487,0.00197
2,2459588.820501,1.00425,0.00196
3,2459588.821143,1.00584,0.00195
4,2459588.821785,1.00234,0.00196
5,2459588.82247,1.00264,0.00196
6,2459588.823112,1.00303,0.00194
7,2459588.823753,1.00246,0.00197
8,2459588.824394,1.00288,0.00194
9,2459588.825036,1.00114,0.00195
10,2459588.825678,1.00063,0.00195
11,2459588.826319,1.00088,0.00195
12,2459588.826953,0.99925,0.00196
13,2459588.827593,0.99427,0.00196
14,2459588.828235,1.00038,0.00197
15,2459588.828876,1.00021,0.00198
16,2459588.829517,0.99896,0.00197
17,2459588.830157,1.00439,0.00195
18,2459588.830805,1.00496,0.00194
19,2459588.831446,1.00321,0.00194
20,2459588.832086,1.00431,0.00193
21,2459588.83272,1.00162,0.00194
22,2459588.833368,0.99789,0.00194
23,2459588.834009,0.99869,0.00193
24,2459588.834651,1.00012,0.00193
25,2459588.835284,1.00199,0.00193
26,2459588.835932,1.00055,0.00193
27,2459588.836573,0.99691,0.00192
28,2459588.837213,0.99609,0.00192
29,2459588.837853,0.99515,0.00193
30,2459588.838494,0.99391,0.00193
31,2459588.839134,0.99587,0.00193
32,2459588.839775,0.99094,0.00193
33,2459588.840414,0.99143,0.00192
34,2459588.841055,0.99277,0.00192
35,2459588.841695,0.99187,0.00192
36,2459588.842343,0.99349,0.00195
37,2459588.842975,0.99471,0.00195
38,2459588.843623,0.99141,0.00194
39,2459588.844262,0.99441,0.00195
40,2459588.844901,0.99321,0.00193
41,2459588.845542,0.99159,0.00193
42,2459588.846182,0.99514,0.00194
43,2459588.846822,0.99069,0.00193
44,2459588.847462,0.99284,0.00193
45,2459588.848109,0.99004,0.00194
46,2459588.848749,0.99347,0.00194
47,2459588.849389,0.99522,0.00195
48,2459588.850029,0.99359,0.00194
49,2459588.850668,0.99246,0.00194
50,2459588.851307,0.99456,0.00196
51,2459588.851947,0.9894,0.00194
52,2459588.852586,0.99352,0.00195
53,2459588.853254,0.99142,0.00193
54,2459588.853894,0.99256,0.00195
55,2459588.85454,0.99147,0.00196
56,2459588.85518,0.99185,0.00197
57,2459588.85582,0.9913,0.00199
58,2459588.856459,0.989,0.00197
59,2459588.857098,0.99279,0.00199
60,2459588.857744,0.99911,0.00199
61,2459588.858383,0.99517,0.00198
62,2459588.859022,0.99558,0.00199
63,2459588.85966,0.99415,0.00197
64,2459588.860307,0.99386,0.00196
65,2459588.860945,0.99582,0.00195
66,2459588.861591,0.99522,0.00194
68,2459588.862869,0.99173,0.00194
69,2459588.863515,0.99796,0.00196
70,2459588.864154,0.992,0.00194
71,2459588.864792,0.99324,0.00192
72,2459588.865437,0.99519,0.00194
73,2459588.866075,0.99438,0.00193
74,2459588.866714,0.99192,0.00193
75,2459588.867359,0.99465,0.00193
76,2459588.867997,0.99379,0.00193
77,2459588.868635,0.99611,0.00194
78,2459588.869281,0.99601,0.00194
79,2459588.869926,0.99503,0.00193
80,2459588.870564,0.99455,0.00192
81,2459588.87121,0.99181,0.00192
82,2459588.871848,0.99375,0.00192
83,2459588.872485,0.9931,0.00192
84,2459588.87313,0.99355,0.00192
85,2459588.873768,0.99288,0.00191
86,2459588.874434,0.9898,0.00192
87,2459588.875079,0.98723,0.00192
88,2459588.875717,0.99059,0.00192
89,2459588.876362,0.9861,0.00192
90,2459588.877,0.98823,0.00191
91,2459588.877645,0.98394,0.00192
92,2459588.878282,0.98104,0.00193
93,2459588.878948,0.98157,0.00193
94,2459588.879593,0.98248,0.00192
95,2459588.88023,0.98189,0.00193
96,2459588.880874,0.98431,0.00194
97,2459588.881511,0.98338,0.00193
98,2459588.882155,0.98258,0.00193
99,2459588.882792,0.98483,0.00194
100,2459588.883436,0.98164,0.00196
101,2459588.884074,0.9826,0.00196
102,2459588.884718,0.98157,0.00197
103,2459588.885355,0.98337,0.00197
104,2459588.885999,0.98458,0.00198
105,2459588.886634,0.98391,0.00196
106,2459588.887278,0.98354,0.00195
107,2459588.887922,0.98014,0.00196
108,2459588.888559,0.9816,0.00195
109,2459588.889202,0.98151,0.00195
110,2459588.889839,0.98493,0.00194
111,2459588.890525,0.9812,0.00195
112,2459588.891162,0.98646,0.00195
113,2459588.891805,0.98303,0.00195
114,2459588.892442,0.98843,0.00197
115,2459588.893085,0.98691,0.00194
116,2459588.893728,0.98918,0.00196
117,2459588.894363,0.98615,0.00194
118,2459588.895006,0.98711,0.00196
119,2459588.895649,0.98937,0.00196
120,2459588.896285,0.98614,0.00198
121,2459588.896929,0.98551,0.00201
122,2459588.897565,0.98682,0.00201
123,2459588.898208,0.98782,0.00201
124,2459588.898851,0.98951,0.002
125,2459588.899486,0.99158,0.00199
126,2459588.900129,0.98998,0.00197
127,2459588.900771,0.99109,0.00196
128,2459588.901407,0.99635,0.00198
129,2459588.90205,0.99485,0.00197
130,2459588.902692,1.00003,0.00197
131,2459588.903328,0.99904,0.00198
132,2459588.903971,1.0017,0.00199
133,2459588.904613,1.00187,0.00197
134,2459588.905256,1.00001,0.00196
135,2459588.905899,0.99983,0.00195
136,2459588.906534,1.00095,0.00195
137,2459588.907177,0.99986,0.00195
138,2459588.907819,0.99776,0.00196
139,2459588.908461,1.00487,0.00198
140,2459588.909096,1.00126,0.00198
141,2459588.909738,1.00034,0.00199
142,2459588.910381,1.00164,0.00197
143,2459588.911023,1.00053,0.00198
144,2459588.911659,0.99721,0.00198
