,BJD_TDB,Flux,Err
0,2459588.818993,0.99746,0.00195
1,2459588.819202,0.99811,0.00195
2,2459588.819418,1.00178,0.00195
3,2459588.819627,0.99747,0.00195
4,2459588.819836,0.99771,0.00194
5,2459588.820053,0.99928,0.00194
6,2459588.820298,0.99943,0.00194
7,2459588.820515,0.999,0.00194
8,2459588.820724,0.99911,0.00194
9,2459588.820941,0.99691,0.00194
10,2459588.82115,1.00203,0.00194
11,2459588.821359,1.00341,0.00194
12,2459588.821576,0.99751,0.00195
13,2459588.821785,1.00172,0.00195
14,2459588.822001,0.99898,0.00194
15,2459588.82221,0.99773,0.00194
16,2459588.822419,1.00143,0.00195
17,2459588.822635,1.00142,0.00194
18,2459588.822844,1.0008,0.00194
19,2459588.82306,1.00118,0.00194
20,2459588.823269,0.99814,0.00194
21,2459588.823478,0.99899,0.00194
22,2459588.823694,0.9991,0.00194
23,2459588.823903,0.99873,0.00195
24,2459588.824112,0.99911,0.00194
25,2459588.824329,1.00373,0.00194
26,2459588.824538,1.00124,0.00194
27,2459588.824754,1.00038,0.00194
28,2459588.824963,1.00003,0.00194
29,2459588.825179,1.00093,0.00194
30,2459588.825389,0.99965,0.00194
31,2459588.825598,0.99872,0.00194
32,2459588.825814,0.99607,0.00194
33,2459588.826022,1.00193,0.00195
34,2459588.826239,0.9976,0.00194
35,2459588.826447,1.00053,0.00194
36,2459588.826664,1.00053,0.00194
37,2459588.826873,1.00046,0.00195
38,2459588.827089,0.99604,0.00194
39,2459588.827297,1.00321,0.00195
40,2459588.827513,0.99958,0.00196
41,2459588.827722,1.0009,0.00196
42,2459588.827939,1.00055,0.00196
43,2459588.828148,0.99794,0.00195
44,2459588.828356,1.00191,0.00196
45,2459588.828572,0.99842,0.00195
46,2459588.828781,0.99834,0.00196
47,2459588.828998,0.99924,0.00195
48,2459588.829207,0.99526,0.00195
49,2459588.829415,0.99785,0.00195
50,2459588.829674,1.00056,0.00194
51,2459588.82989,0.9981,0.00194
52,2459588.830098,0.99719,0.00194
53,2459588.830314,1.00013,0.00193
54,2459588.830523,0.99621,0.00193
55,2459588.830739,0.9991,0.00193
56,2459588.830948,0.99895,0.00193
57,2459588.831164,0.99975,0.00193
58,2459588.831372,0.99831,0.00193
59,2459588.831581,0.99962,0.00193
60,2459588.831797,0.99746,0.00192
61,2459588.832006,1.00094,0.00193
62,2459588.832222,1.00137,0.00193
63,2459588.832452,0.99759,0.00193
64,2459588.832669,1.00257,0.00193
65,2459588.832885,1.00007,0.00194
66,2459588.833094,0.99984,0.00193
67,2459588.833303,1.00145,0.00194
68,2459588.833519,0.9996,0.00193
69,2459588.833728,0.99935,0.00193
70,2459588.833937,0.99931,0.00192
71,2459588.834153,0.99995,0.00193
72,2459588.834362,1.00046,0.00193
73,2459588.83457,0.99847,0.00193
74,2459588.834786,0.99645,0.00193
75,2459588.834995,1.00044,0.00193
76,2459588.835204,1.00223,0.00194
77,2459588.83542,1.00035,0.00193
78,2459588.835629,0.99833,0.00193
79,2459588.835844,1.00089,0.00193
80,2459588.836053,0.9997,0.00193
81,2459588.836269,0.9954,0.00193
82,2459588.836478,0.99699,0.00193
83,2459588.836694,0.99619,0.00192
84,2459588.836903,0.99732,0.00193
85,2459588.837118,0.99965,0.00192
86,2459588.837327,0.99637,0.00192
87,2459588.837535,1.00017,0.00193
88,2459588.83778,0.99992,0.00193
89,2459588.837989,0.99707,0.00193
90,2459588.838205,0.99811,0.00193
91,2459588.838413,1.00076,0.00193
92,2459588.838629,0.99849,0.00193
93,2459588.838838,1.00324,0.00193
94,2459588.839054,0.99848,0.00192
95,2459588.839263,1.00189,0.00193
96,2459588.839471,0.9972,0.00193
97,2459588.839687,0.99781,0.00193
98,2459588.839895,0.99621,0.00193
99,2459588.840111,0.99553,0.00192
100,2459588.84032,0.99666,0.00192
101,2459588.840536,0.99789,0.00193
102,2459588.840744,0.99801,0.00193
103,2459588.840953,0.99783,0.00193
104,2459588.841169,0.9983,0.00192
105,2459588.841385,0.99789,0.00193
106,2459588.841593,0.99761,0.00193
107,2459588.841809,1.00143,0.00194
108,2459588.842018,0.99965,0.00193
109,2459588.842226,0.99577,0.00195
110,2459588.842442,0.99535,0.00194
111,2459588.842651,0.99623,0.00194
112,2459588.842866,0.9968,0.00194
113,2459588.843075,0.99847,0.00194
114,2459588.843291,0.99599,0.00193
115,2459588.843499,0.99512,0.00194
116,2459588.843715,0.99656,0.00193
117,2459588.843923,0.99744,0.00194
118,2459588.844138,0.99859,0.00195
119,2459588.844346,0.99632,0.00193
120,2459588.844562,0.99865,0.00193
121,2459588.844771,0.99635,0.00193
122,2459588.844987,1.00221,0.00193
123,2459588.845195,0.99758,0.00193
124,2459588.845418,0.99504,0.00193
125,2459588.845627,0.9971,0.00193
126,2459588.845835,0.99854,0.00193
127,2459588.846051,0.99639,0.00193
128,2459588.846267,0.9996,0.00194
129,2459588.846483,0.9984,0.00193
130,2459588.846691,0.99942,0.00193
131,2459588.846907,0.99884,0.00193
132,2459588.847116,0.99808,0.00194
133,2459588.847324,1.00056,0.00194
134,2459588.84754,0.99514,0.00192
135,2459588.847755,0.9957,0.00193
136,2459588.847964,1.00006,0.00194
137,2459588.848194,1.00018,0.00193
138,2459588.848403,0.99953,0.00194
139,2459588.848618,0.99579,0.00193
140,2459588.848827,0.99914,0.00194
141,2459588.849042,0.99702,0.00193
142,2459588.849258,0.99515,0.00195
143,2459588.849467,0.99761,0.00194
144,2459588.849682,0.99731,0.00193
145,2459588.849891,0.99896,0.00194
146,2459588.850106,0.99672,0.00194
147,2459588.850315,0.99719,0.00194
148,2459588.85053,0.99754,0.00194
149,2459588.850739,1.00292,0.00194
150,2459588.850947,1.00209,0.00194
151,2459588.851163,0.99622,0.00195
152,2459588.851378,0.99915,0.00196
153,2459588.851586,1.00026,0.00195
154,2459588.851795,0.99996,0.00195
155,2459588.85201,1.0006,0.00195
156,2459588.852219,1.0029,0.00194
157,2459588.852434,0.99753,0.00195
158,2459588.852643,0.99629,0.00194
159,2459588.852858,0.99697,0.00194
160,2459588.853066,0.99818,0.00194
161,2459588.853282,0.99789,0.00194
162,2459588.85349,0.99937,0.00194
163,2459588.853706,0.99983,0.00194
164,2459588.853914,0.99555,0.00195
165,2459588.854129,0.99897,0.00196
